Process ID,Arrival Time,Burst Time,Priority,Type
P66,1,1,3,I/O-bound
P23,2,6,2,I/O-bound
P6,2,1,1,I/O-bound
P104,3,6,5,I/O-bound
P117,3,5,4,I/O-bound
P119,3,5,1,I/O-bound
P68,3,2,5,I/O-bound
P97,3,4,3,I/O-bound
P81,4,3,1,I/O-bound
P84,4,6,1,I/O-bound
P15,5,4,1,I/O-bound
P19,5,5,3,I/O-bound
P5,5,5,4,I/O-bound
P56,7,3,4,I/O-bound
P80,7,2,2,I/O-bound
P72,8,6,4,I/O-bound
P113,9,2,3,I/O-bound
P41,9,3,2,I/O-bound
P48,9,6,2,I/O-bound
P109,10,4,1,I/O-bound
P32,10,4,4,I/O-bound
P57,10,4,1,I/O-bound
P101,11,3,4,I/O-bound
P22,12,6,1,I/O-bound
P9,12,6,5,I/O-bound
P92,12,1,1,I/O-bound
P99,12,2,5,I/O-bound
P108,13,4,1,I/O-bound
P114,13,1,5,I/O-bound
P14,13,3,1,I/O-bound
P38,13,5,3,I/O-bound
P39,13,6,4,I/O-bound
P7,13,2,5,I/O-bound
P3,14,2,1,I/O-bound
P34,14,6,3,I/O-bound
P85,14,1,1,I/O-bound
P102,15,1,4,I/O-bound
P42,15,6,5,I/O-bound
P17,16,1,4,I/O-bound
P74,16,5,5,I/O-bound
P33,17,6,5,I/O-bound
P111,18,4,5,I/O-bound
P13,21,3,2,I/O-bound
P16,22,3,5,I/O-bound
P28,23,3,2,I/O-bound
P45,23,2,2,I/O-bound
P63,23,2,5,I/O-bound
P110,24,3,4,I/O-bound
P26,24,3,4,I/O-bound
P51,24,5,4,I/O-bound
P37,25,3,1,I/O-bound
P40,25,6,4,I/O-bound
P10,26,2,4,I/O-bound
P107,26,4,4,I/O-bound
P44,27,5,4,I/O-bound
P75,27,2,5,I/O-bound
P94,27,4,4,I/O-bound
P100,28,2,4,I/O-bound
P79,28,5,4,I/O-bound
P118,32,5,2,I/O-bound
P46,32,4,1,I/O-bound
P59,32,2,5,I/O-bound
P87,32,2,3,I/O-bound
P52,33,3,5,I/O-bound
P18,34,1,4,I/O-bound
P31,34,6,2,I/O-bound
P43,34,3,5,I/O-bound
P89,34,2,5,I/O-bound
P90,36,4,2,I/O-bound
P11,37,3,1,I/O-bound
P82,37,5,2,I/O-bound
P83,37,2,1,I/O-bound
P30,38,6,2,I/O-bound
P50,38,1,4,I/O-bound
P62,38,2,2,I/O-bound
P65,38,3,4,I/O-bound
P8,38,1,5,I/O-bound
P1,40,1,1,I/O-bound
P27,40,3,2,I/O-bound
P112,42,6,4,I/O-bound
P29,42,3,1,I/O-bound
P78,42,6,3,I/O-bound
P88,42,4,2,I/O-bound
P93,42,4,3,I/O-bound
P4,43,6,5,I/O-bound
P54,43,5,3,I/O-bound
P96,43,6,1,I/O-bound
P77,45,3,4,I/O-bound
P58,46,6,3,I/O-bound
P70,46,4,1,I/O-bound
P115,47,5,1,I/O-bound
P116,47,3,1,I/O-bound
P2,47,3,2,I/O-bound
P12,48,2,4,I/O-bound
P47,48,1,1,I/O-bound
P71,48,5,2,I/O-bound
P76,48,6,2,I/O-bound
P24,49,3,1,I/O-bound
P55,49,6,3,I/O-bound
P64,49,5,1,I/O-bound
P49,50,6,4,I/O-bound
P91,50,4,4,I/O-bound
P103,51,5,1,I/O-bound
P98,51,1,2,I/O-bound
P36,52,1,3,I/O-bound
P105,53,1,1,I/O-bound
P20,53,6,5,I/O-bound
P35,53,1,2,I/O-bound
P61,53,6,5,I/O-bound
P120,54,2,1,I/O-bound
P25,54,2,1,I/O-bound
P53,55,1,1,I/O-bound
P86,55,3,1,I/O-bound
P95,55,6,1,I/O-bound
P21,56,3,5,I/O-bound
P67,56,3,2,I/O-bound
P60,58,1,3,I/O-bound
P106,59,2,2,I/O-bound
P69,60,1,1,I/O-bound
P73,60,5,2,I/O-bound
