Process ID,Arrival Time,Burst Time,Priority,Type
P6,0,27,2,CPU-bound
P17,2,11,2,CPU-bound
P5,2,16,2,CPU-bound
P1,3,10,3,CPU-bound
P11,3,12,4,CPU-bound
P12,3,21,3,CPU-bound
P14,3,22,1,CPU-bound
P19,3,22,3,CPU-bound
P3,3,27,1,CPU-bound
P10,4,16,3,CPU-bound
P21,5,21,3,CPU-bound
P23,5,27,2,CPU-bound
P24,5,24,4,CPU-bound
P22,6,18,1,CPU-bound
P29,6,28,3,CPU-bound
P30,6,30,4,CPU-bound
P2,7,17,2,CPU-bound
P26,7,20,1,CPU-bound
P27,7,11,3,CPU-bound
P13,8,11,4,CPU-bound
P25,8,30,5,CPU-bound
P8,8,10,2,CPU-bound
P15,9,30,5,CPU-bound
P18,9,12,2,CPU-bound
P16,11,28,2,CPU-bound
P28,12,18,1,CPU-bound
P4,13,11,1,CPU-bound
P7,13,17,4,CPU-bound
P9,13,20,3,CPU-bound
P20,14,30,3,CPU-bound
