Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P6,1,12,2,1,13,0,12,0
P63,1,13,3,13,26,12,25,12
P8,1,27,2,26,53,25,52,25
P118,2,29,1,53,82,51,80,51
P109,3,28,5,82,110,79,107,79
P110,3,20,1,110,130,107,127,107
P111,3,28,4,130,158,127,155,127
P113,3,26,1,158,184,155,181,155
P65,3,17,5,184,201,181,198,181
P92,3,22,3,201,223,198,220,198
P99,3,30,5,223,253,220,250,220
P48,4,22,4,253,275,249,271,249
P77,4,20,1,275,295,271,291,271
P80,4,30,1,295,325,291,321,291
P15,5,22,1,325,347,320,342,320
P19,5,27,3,347,374,342,369,342
P24,5,17,1,374,391,369,386,369
P53,7,19,4,391,410,384,403,384
P76,7,17,2,410,427,403,420,403
P69,8,25,5,427,452,419,444,419
P39,9,18,2,452,470,443,461,443
P46,9,30,2,470,500,461,491,461
P104,10,22,1,500,522,490,512,490
P54,10,24,1,522,546,512,536,512
P70,10,18,5,546,564,536,554,536
P96,11,18,4,564,582,553,571,553
P108,12,19,2,582,601,570,589,570
P22,12,12,1,601,613,589,601,589
P88,12,13,1,613,626,601,614,601
P94,12,16,5,626,642,614,630,614
P103,13,22,1,642,664,629,651,629
P14,13,20,1,664,684,651,671,651
P36,13,28,3,684,712,671,699,671
P37,13,30,4,712,742,699,729,699
P72,13,27,2,742,769,729,756,729
P3,14,14,1,769,783,755,769,755
P33,14,20,1,783,803,769,789,769
P34,14,11,3,803,814,789,800,789
P7,14,26,5,814,840,800,826,800
P81,14,12,1,840,852,826,838,826
P117,15,28,5,852,880,837,865,837
P40,15,27,5,880,907,865,892,865
P97,15,12,4,907,919,892,904,892
P17,16,11,4,919,930,903,914,903
P41,16,28,4,930,958,914,942,914
P50,16,27,1,958,985,942,969,942
P106,18,23,5,985,1008,967,990,967
P13,21,18,2,1008,1026,987,1005,987
P16,22,21,5,1026,1047,1004,1025,1004
P27,23,21,2,1047,1068,1024,1045,1024
P43,23,17,2,1068,1085,1045,1062,1045
P60,23,15,5,1085,1100,1062,1077,1062
P105,24,18,4,1100,1118,1076,1094,1076
P25,24,18,4,1118,1136,1094,1112,1094
P116,25,13,5,1136,1149,1111,1124,1111
P35,25,18,1,1149,1167,1124,1142,1124
P38,25,30,4,1167,1197,1142,1172,1142
P10,26,17,4,1197,1214,1171,1188,1171
P102,26,25,4,1214,1239,1188,1213,1188
P119,26,28,5,1239,1267,1213,1241,1213
P90,27,23,4,1267,1290,1240,1263,1240
P75,28,26,4,1290,1316,1262,1288,1262
P95,28,14,4,1316,1330,1288,1302,1288
P31,29,22,3,1330,1352,1301,1323,1301
P112,32,26,2,1352,1378,1320,1346,1320
P44,32,25,1,1378,1403,1346,1371,1346
P83,32,17,3,1403,1420,1371,1388,1371
P120,33,20,3,1420,1440,1387,1407,1387
P18,34,13,4,1440,1453,1406,1419,1406
P30,34,17,2,1453,1470,1419,1436,1419
P85,34,14,5,1470,1484,1436,1450,1436
P86,36,25,2,1484,1509,1448,1473,1448
P11,37,18,1,1509,1527,1472,1490,1472
P5,37,23,1,1527,1550,1490,1513,1490
P78,37,27,2,1550,1577,1513,1540,1513
P79,37,17,1,1577,1594,1540,1557,1540
P115,38,12,2,1594,1606,1556,1568,1556
P29,38,30,2,1606,1636,1568,1598,1568
P49,38,24,5,1636,1660,1598,1622,1598
P59,38,16,2,1660,1676,1622,1638,1622
P62,38,20,4,1676,1696,1638,1658,1638
P1,40,13,1,1696,1709,1656,1669,1656
P26,40,21,2,1709,1730,1669,1690,1669
P107,42,25,2,1730,1755,1688,1713,1688
P23,42,17,3,1755,1772,1713,1730,1713
P28,42,18,1,1772,1790,1730,1748,1730
P74,42,30,3,1790,1820,1748,1778,1748
P84,42,25,2,1820,1845,1778,1803,1778
P89,42,23,3,1845,1868,1803,1826,1803
P4,43,27,1,1868,1895,1825,1852,1825
P51,43,13,5,1895,1908,1852,1865,1852
P73,45,19,4,1908,1927,1863,1882,1863
P9,45,30,5,1927,1957,1882,1912,1882
P55,46,18,5,1957,1975,1911,1929,1911
P67,46,25,1,1975,2000,1929,1954,1929
P2,47,18,2,2000,2018,1953,1971,1953
P12,48,15,4,2018,2033,1970,1985,1970
P45,48,11,1,2033,2044,1985,1996,1985
P52,48,18,3,2044,2062,1996,2014,1996
P56,48,15,5,2062,2077,2014,2029,2014
P68,48,27,2,2077,2104,2029,2056,2029
P61,49,26,1,2104,2130,2055,2081,2055
P47,50,23,5,2130,2153,2080,2103,2080
P87,50,25,4,2153,2178,2103,2128,2103
P93,51,13,2,2178,2191,2127,2140,2127
P98,51,27,1,2191,2218,2140,2167,2140
P100,53,10,1,2218,2228,2165,2175,2165
P20,53,30,5,2228,2258,2175,2205,2175
P58,53,30,5,2258,2288,2205,2235,2205
P114,54,15,1,2288,2303,2234,2249,2234
P71,55,29,4,2303,2332,2248,2277,2248
P82,55,20,1,2332,2352,2277,2297,2277
P91,55,11,1,2352,2363,2297,2308,2297
P21,56,21,5,2363,2384,2307,2328,2307
P64,56,19,2,2384,2403,2328,2347,2328
P42,57,28,4,2403,2431,2346,2374,2346
P57,58,13,3,2431,2444,2373,2386,2373
P101,59,17,2,2444,2461,2385,2402,2385
P32,59,30,5,2461,2491,2402,2432,2402
P66,60,12,1,2491,2503,2431,2443,2431
