Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P6,1,12,2,1,13,0,12,0
P22,12,12,1,13,25,1,13,1
P17,16,11,4,25,36,9,20,9
P34,14,11,3,36,47,22,33,22
P115,38,12,2,47,59,9,21,9
P100,53,10,1,59,69,6,16,6
P45,48,11,1,69,80,21,32,21
P91,55,11,1,80,91,25,36,25
P66,60,12,1,91,103,31,43,31
P81,14,12,1,103,115,89,101,89
P97,15,12,4,115,127,100,112,100
P1,40,13,1,127,140,87,100,87
P116,25,13,5,140,153,115,128,115
P18,34,13,4,153,166,119,132,119
P51,43,13,5,166,179,123,136,123
P57,58,13,3,179,192,121,134,121
P63,1,13,3,192,205,191,204,191
P88,12,13,1,205,218,193,206,193
P93,51,13,2,218,231,167,180,167
P3,14,14,1,231,245,217,231,217
P85,34,14,5,245,259,211,225,211
P95,28,14,4,259,273,231,245,231
P114,54,15,1,273,288,219,234,219
P12,48,15,4,288,303,240,255,240
P56,48,15,5,303,318,255,270,255
P60,23,15,5,318,333,295,310,295
P59,38,16,2,333,349,295,311,295
P94,12,16,5,349,365,337,353,337
P10,26,17,4,365,382,339,356,339
P101,59,17,2,382,399,323,340,323
P23,42,17,3,399,416,357,374,357
P24,5,17,1,416,433,411,428,411
P30,34,17,2,433,450,399,416,399
P43,23,17,2,450,467,427,444,427
P65,3,17,5,467,484,464,481,464
P76,7,17,2,484,501,477,494,477
P79,37,17,1,501,518,464,481,464
P83,32,17,3,518,535,486,503,486
P105,24,18,4,535,553,511,529,511
P11,37,18,1,553,571,516,534,516
P13,21,18,2,571,589,550,568,550
P2,47,18,2,589,607,542,560,542
P25,24,18,4,607,625,583,601,583
P28,42,18,1,625,643,583,601,583
P35,25,18,1,643,661,618,636,618
P39,9,18,2,661,679,652,670,652
P52,48,18,3,679,697,631,649,631
P55,46,18,5,697,715,651,669,651
P70,10,18,5,715,733,705,723,705
P96,11,18,4,733,751,722,740,722
P108,12,19,2,751,770,739,758,739
P53,7,19,4,770,789,763,782,763
P64,56,19,2,789,808,733,752,733
P73,45,19,4,808,827,763,782,763
P110,3,20,1,827,847,824,844,824
P120,33,20,3,847,867,814,834,814
P14,13,20,1,867,887,854,874,854
P33,14,20,1,887,907,873,893,873
P62,38,20,4,907,927,869,889,869
P77,4,20,1,927,947,923,943,923
P82,55,20,1,947,967,892,912,892
P16,22,21,5,967,988,945,966,945
P21,56,21,5,988,1009,932,953,932
P26,40,21,2,1009,1030,969,990,969
P27,23,21,2,1030,1051,1007,1028,1007
P103,13,22,1,1051,1073,1038,1060,1038
P104,10,22,1,1073,1095,1063,1085,1063
P15,5,22,1,1095,1117,1090,1112,1090
P31,29,22,3,1117,1139,1088,1110,1088
P48,4,22,4,1139,1161,1135,1157,1135
P92,3,22,3,1161,1183,1158,1180,1158
P106,18,23,5,1183,1206,1165,1188,1165
P47,50,23,5,1206,1229,1156,1179,1156
P5,37,23,1,1229,1252,1192,1215,1192
P89,42,23,3,1252,1275,1210,1233,1210
P90,27,23,4,1275,1298,1248,1271,1248
P49,38,24,5,1298,1322,1260,1284,1260
P54,10,24,1,1322,1346,1312,1336,1312
P102,26,25,4,1346,1371,1320,1345,1320
P107,42,25,2,1371,1396,1329,1354,1329
P44,32,25,1,1396,1421,1364,1389,1364
P67,46,25,1,1421,1446,1375,1400,1375
P69,8,25,5,1446,1471,1438,1463,1438
P84,42,25,2,1471,1496,1429,1454,1429
P86,36,25,2,1496,1521,1460,1485,1460
P87,50,25,4,1521,1546,1471,1496,1471
P112,32,26,2,1546,1572,1514,1540,1514
P113,3,26,1,1572,1598,1569,1595,1569
P61,49,26,1,1598,1624,1549,1575,1549
P7,14,26,5,1624,1650,1610,1636,1610
P75,28,26,4,1650,1676,1622,1648,1622
P19,5,27,3,1676,1703,1671,1698,1671
P4,43,27,1,1703,1730,1660,1687,1660
P40,15,27,5,1730,1757,1715,1742,1715
P50,16,27,1,1757,1784,1741,1768,1741
P68,48,27,2,1784,1811,1736,1763,1736
P72,13,27,2,1811,1838,1798,1825,1798
P78,37,27,2,1838,1865,1801,1828,1801
P8,1,27,2,1865,1892,1864,1891,1864
P98,51,27,1,1892,1919,1841,1868,1841
P109,3,28,5,1919,1947,1916,1944,1916
P111,3,28,4,1947,1975,1944,1972,1944
P117,15,28,5,1975,2003,1960,1988,1960
P119,26,28,5,2003,2031,1977,2005,1977
P36,13,28,3,2031,2059,2018,2046,2018
P41,16,28,4,2059,2087,2043,2071,2043
P42,57,28,4,2087,2115,2030,2058,2030
P118,2,29,1,2115,2144,2113,2142,2113
P71,55,29,4,2144,2173,2089,2118,2089
P20,53,30,5,2173,2203,2120,2150,2120
P29,38,30,2,2203,2233,2165,2195,2165
P32,59,30,5,2233,2263,2174,2204,2174
P37,13,30,4,2263,2293,2250,2280,2250
P38,25,30,4,2293,2323,2268,2298,2268
P46,9,30,2,2323,2353,2314,2344,2314
P58,53,30,5,2353,2383,2300,2330,2300
P74,42,30,3,2383,2413,2341,2371,2341
P80,4,30,1,2413,2443,2409,2439,2409
P9,45,30,5,2443,2473,2398,2428,2398
P99,3,30,5,2473,2503,2470,2500,2470
