Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P66,1,1,3,1,2,0,1,0
P23,2,6,2,2,8,0,6,0
P6,2,1,1,8,9,6,7,6
P104,3,6,5,9,15,6,12,6
P117,3,5,4,15,20,12,17,12
P119,3,5,1,20,25,17,22,17
P68,3,2,5,25,27,22,24,22
P97,3,4,3,27,31,24,28,24
P81,4,3,1,31,34,27,30,27
P84,4,6,1,34,40,30,36,30
P15,5,4,1,40,44,35,39,35
P19,5,5,3,44,49,39,44,39
P5,5,5,4,49,54,44,49,44
P56,7,3,4,54,57,47,50,47
P80,7,2,2,57,59,50,52,50
P72,8,6,4,59,65,51,57,51
P113,9,2,3,65,67,56,58,56
P41,9,3,2,67,70,58,61,58
P48,9,6,2,70,76,61,67,61
P109,10,4,1,76,80,66,70,66
P32,10,4,4,80,84,70,74,70
P57,10,4,1,84,88,74,78,74
P101,11,3,4,88,91,77,80,77
P22,12,6,1,91,97,79,85,79
P9,12,6,5,97,103,85,91,85
P92,12,1,1,103,104,91,92,91
P99,12,2,5,104,106,92,94,92
P108,13,4,1,106,110,93,97,93
P114,13,1,5,110,111,97,98,97
P14,13,3,1,111,114,98,101,98
P38,13,5,3,114,119,101,106,101
P39,13,6,4,119,125,106,112,106
P7,13,2,5,125,127,112,114,112
P3,14,2,1,127,129,113,115,113
P34,14,6,3,129,135,115,121,115
P85,14,1,1,135,136,121,122,121
P102,15,1,4,136,137,121,122,121
P42,15,6,5,137,143,122,128,122
P17,16,1,4,143,144,127,128,127
P74,16,5,5,144,149,128,133,128
P33,17,6,5,149,155,132,138,132
P111,18,4,5,155,159,137,141,137
P13,21,3,2,159,162,138,141,138
P16,22,3,5,162,165,140,143,140
P28,23,3,2,165,168,142,145,142
P45,23,2,2,168,170,145,147,145
P63,23,2,5,170,172,147,149,147
P110,24,3,4,172,175,148,151,148
P26,24,3,4,175,178,151,154,151
P51,24,5,4,178,183,154,159,154
P37,25,3,1,183,186,158,161,158
P40,25,6,4,186,192,161,167,161
P10,26,2,4,192,194,166,168,166
P107,26,4,4,194,198,168,172,168
P44,27,5,4,198,203,171,176,171
P75,27,2,5,203,205,176,178,176
P94,27,4,4,205,209,178,182,178
P100,28,2,4,209,211,181,183,181
P79,28,5,4,211,216,183,188,183
P118,32,5,2,216,221,184,189,184
P46,32,4,1,221,225,189,193,189
P59,32,2,5,225,227,193,195,193
P87,32,2,3,227,229,195,197,195
P52,33,3,5,229,232,196,199,196
P18,34,1,4,232,233,198,199,198
P31,34,6,2,233,239,199,205,199
P43,34,3,5,239,242,205,208,205
P89,34,2,5,242,244,208,210,208
P90,36,4,2,244,248,208,212,208
P11,37,3,1,248,251,211,214,211
P82,37,5,2,251,256,214,219,214
P83,37,2,1,256,258,219,221,219
P30,38,6,2,258,264,220,226,220
P50,38,1,4,264,265,226,227,226
P62,38,2,2,265,267,227,229,227
P65,38,3,4,267,270,229,232,229
P8,38,1,5,270,271,232,233,232
P1,40,1,1,271,272,231,232,231
P27,40,3,2,272,275,232,235,232
P112,42,6,4,275,281,233,239,233
P29,42,3,1,281,284,239,242,239
P78,42,6,3,284,290,242,248,242
P88,42,4,2,290,294,248,252,248
P93,42,4,3,294,298,252,256,252
P4,43,6,5,298,304,255,261,255
P54,43,5,3,304,309,261,266,261
P96,43,6,1,309,315,266,272,266
P77,45,3,4,315,318,270,273,270
P58,46,6,3,318,324,272,278,272
P70,46,4,1,324,328,278,282,278
P115,47,5,1,328,333,281,286,281
P116,47,3,1,333,336,286,289,286
P2,47,3,2,336,339,289,292,289
P12,48,2,4,339,341,291,293,291
P47,48,1,1,341,342,293,294,293
P71,48,5,2,342,347,294,299,294
P76,48,6,2,347,353,299,305,299
P24,49,3,1,353,356,304,307,304
P55,49,6,3,356,362,307,313,307
P64,49,5,1,362,367,313,318,313
P49,50,6,4,367,373,317,323,317
P91,50,4,4,373,377,323,327,323
P103,51,5,1,377,382,326,331,326
P98,51,1,2,382,383,331,332,331
P36,52,1,3,383,384,331,332,331
P105,53,1,1,384,385,331,332,331
P20,53,6,5,385,391,332,338,332
P35,53,1,2,391,392,338,339,338
P61,53,6,5,392,398,339,345,339
P120,54,2,1,398,400,344,346,344
P25,54,2,1,400,402,346,348,346
P53,55,1,1,402,403,347,348,347
P86,55,3,1,403,406,348,351,348
P95,55,6,1,406,412,351,357,351
P21,56,3,5,412,415,356,359,356
P67,56,3,2,415,418,359,362,359
P60,58,1,3,418,419,360,361,360
P106,59,2,2,419,421,360,362,360
P69,60,1,1,421,422,361,362,361
P73,60,5,2,422,427,362,367,362
