Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P66,1,1,3,1,2,0,1,0
P6,2,1,1,6,7,4,5,4
P68,3,2,5,19,21,16,18,16
P97,3,4,3,21,25,18,22,18
P81,4,3,1,25,28,21,24,21
P15,5,4,1,32,36,27,31,27
P56,7,3,4,44,47,37,40,37
P80,7,2,2,47,49,40,42,40
P113,9,2,3,53,55,44,46,44
P41,9,3,2,55,58,46,49,46
P109,10,4,1,62,66,52,56,52
P32,10,4,4,66,70,56,60,56
P57,10,4,1,70,74,60,64,60
P101,11,3,4,74,77,63,66,63
P92,12,1,1,85,86,73,74,73
P99,12,2,5,86,88,74,76,74
P108,13,4,1,88,92,75,79,75
P114,13,1,5,92,93,79,80,79
P14,13,3,1,93,96,80,83,80
P7,13,2,5,104,106,91,93,91
P3,14,2,1,106,108,92,94,92
P85,14,1,1,112,113,98,99,98
P102,15,1,4,113,114,98,99,98
P17,16,1,4,118,119,102,103,102
P111,18,4,5,127,131,109,113,109
P13,21,3,2,131,134,110,113,110
P16,22,3,5,134,137,112,115,112
P28,23,3,2,137,140,114,117,114
P45,23,2,2,140,142,117,119,117
P63,23,2,5,142,144,119,121,119
P110,24,3,4,144,147,120,123,120
P26,24,3,4,147,150,123,126,123
P37,25,3,1,154,157,129,132,129
P10,26,2,4,161,163,135,137,135
P107,26,4,4,163,167,137,141,137
P75,27,2,5,171,173,144,146,144
P94,27,4,4,173,177,146,150,146
P100,28,2,4,177,179,149,151,149
P46,32,4,1,187,191,155,159,155
P59,32,2,5,191,193,159,161,159
P87,32,2,3,193,195,161,163,161
P52,33,3,5,195,198,162,165,162
P18,34,1,4,198,199,164,165,164
P43,34,3,5,203,206,169,172,169
P89,34,2,5,206,208,172,174,172
P90,36,4,2,208,212,172,176,172
P11,37,3,1,212,215,175,178,175
P83,37,2,1,219,221,182,184,182
P50,38,1,4,225,226,187,188,187
P62,38,2,2,226,228,188,190,188
P65,38,3,4,228,231,190,193,190
P8,38,1,5,231,232,193,194,193
P1,40,1,1,232,233,192,193,192
P27,40,3,2,233,236,193,196,193
P29,42,3,1,240,243,198,201,198
P88,42,4,2,247,251,205,209,205
P93,42,4,3,251,255,209,213,209
P77,45,3,4,267,270,222,225,222
P70,46,4,1,274,278,228,232,228
P116,47,3,1,282,285,235,238,235
P2,47,3,2,285,288,238,241,238
P12,48,2,4,288,290,240,242,240
P47,48,1,1,290,291,242,243,242
P24,49,3,1,299,302,250,253,250
P91,50,4,4,314,318,264,268,264
P98,51,1,2,322,323,271,272,271
P36,52,1,3,323,324,271,272,271
P105,53,1,1,324,325,271,272,271
P35,53,1,2,329,330,276,277,276
P120,54,2,1,334,336,280,282,280
P25,54,2,1,336,338,282,284,282
P53,55,1,1,338,339,283,284,283
P86,55,3,1,339,342,284,287,284
P21,56,3,5,346,349,290,293,290
P67,56,3,2,349,352,293,296,293
P60,58,1,3,352,353,294,295,294
P106,59,2,2,353,355,294,296,294
P69,60,1,1,355,356,295,296,295
P23,2,6,2,2,362,354,360,0
P104,3,6,5,7,364,355,361,4
P117,3,5,4,11,365,357,362,8
P119,3,5,1,15,366,358,363,12
P84,4,6,1,28,368,358,364,24
P19,5,5,3,36,369,359,364,31
P5,5,5,4,40,370,360,365,35
P72,8,6,4,49,372,358,364,41
P48,9,6,2,58,374,359,365,49
P22,12,6,1,77,376,358,364,65
P9,12,6,5,81,378,360,366,69
P38,13,5,3,96,379,361,366,83
P39,13,6,4,100,381,362,368,87
P34,14,6,3,108,383,363,369,94
P42,15,6,5,114,385,364,370,99
P74,16,5,5,119,386,365,370,103
P33,17,6,5,123,388,365,371,106
P51,24,5,4,150,389,360,365,126
P40,25,6,4,157,391,360,366,132
P44,27,5,4,167,392,360,365,140
P79,28,5,4,179,393,360,365,151
P118,32,5,2,183,394,357,362,151
P31,34,6,2,199,396,356,362,165
P82,37,5,2,215,397,355,360,178
P30,38,6,2,221,399,355,361,183
P112,42,6,4,236,401,353,359,194
P78,42,6,3,243,403,355,361,201
P4,43,6,5,255,405,356,362,212
P54,43,5,3,259,406,358,363,216
P96,43,6,1,263,408,359,365,220
P58,46,6,3,270,410,358,364,224
P115,47,5,1,278,411,359,364,231
P71,48,5,2,291,412,359,364,243
P76,48,6,2,295,414,360,366,247
P55,49,6,3,302,416,361,367,253
P64,49,5,1,306,417,363,368,257
P49,50,6,4,310,419,363,369,260
P103,51,5,1,318,420,364,369,267
P20,53,6,5,325,422,363,369,272
P61,53,6,5,330,424,365,371,277
P95,55,6,1,342,426,365,371,287
P73,60,5,2,356,427,362,367,296
