Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P66,1,1,3,1,2,0,1,0
P6,2,1,1,6,7,4,5,4
P68,3,2,5,19,21,16,18,16
P97,3,4,3,21,25,18,22,18
P81,4,3,1,25,28,21,24,21
P15,5,4,1,32,36,27,31,27
P23,2,6,2,2,46,38,44,0
P56,7,3,4,46,49,39,42,39
P80,7,2,2,49,51,42,44,42
P113,9,2,3,55,57,46,48,46
P41,9,3,2,57,60,48,51,48
P109,10,4,1,64,68,54,58,54
P32,10,4,4,68,72,58,62,58
P57,10,4,1,72,76,62,66,62
P101,11,3,4,76,79,65,68,65
P104,3,6,5,7,81,72,78,4
P92,12,1,1,89,90,77,78,77
P99,12,2,5,90,92,78,80,78
P108,13,4,1,92,96,79,83,79
P114,13,1,5,96,97,83,84,83
P14,13,3,1,97,100,84,87,84
P7,13,2,5,108,110,95,97,95
P3,14,2,1,110,112,96,98,96
P85,14,1,1,116,117,102,103,102
P102,15,1,4,117,118,102,103,102
P117,3,5,4,11,123,115,120,8
P17,16,1,4,123,124,107,108,107
P111,18,4,5,132,136,114,118,114
P119,3,5,1,15,137,129,134,12
P13,21,3,2,137,140,116,119,116
P16,22,3,5,140,143,118,121,118
P28,23,3,2,143,146,120,123,120
P45,23,2,2,146,148,123,125,123
P63,23,2,5,148,150,125,127,125
P110,24,3,4,150,153,126,129,126
P26,24,3,4,153,156,129,132,129
P37,25,3,1,160,163,135,138,135
P10,26,2,4,167,169,141,143,141
P107,26,4,4,169,173,143,147,143
P75,27,2,5,177,179,150,152,150
P94,27,4,4,179,183,152,156,152
P100,28,2,4,183,185,155,157,155
P46,32,4,1,193,197,161,165,161
P59,32,2,5,197,199,165,167,165
P87,32,2,3,199,201,167,169,167
P84,4,6,1,28,203,193,199,24
P52,33,3,5,203,206,170,173,170
P18,34,1,4,206,207,172,173,172
P43,34,3,5,211,214,177,180,177
P89,34,2,5,214,216,180,182,180
P90,36,4,2,216,220,180,184,180
P11,37,3,1,220,223,183,186,183
P83,37,2,1,227,229,190,192,190
P50,38,1,4,233,234,195,196,195
P62,38,2,2,234,236,196,198,196
P65,38,3,4,236,239,198,201,198
P8,38,1,5,239,240,201,202,201
P1,40,1,1,240,241,200,201,200
P27,40,3,2,241,244,201,204,201
P19,5,5,3,36,245,235,240,31
P29,42,3,1,249,252,207,210,207
P88,42,4,2,256,260,214,218,214
P93,42,4,3,260,264,218,222,218
P5,5,5,4,40,277,267,272,35
P77,45,3,4,277,280,232,235,232
P70,46,4,1,284,288,238,242,238
P116,47,3,1,292,295,245,248,245
P2,47,3,2,295,298,248,251,248
P12,48,2,4,298,300,250,252,250
P47,48,1,1,300,301,252,253,252
P24,49,3,1,309,312,260,263,260
P91,50,4,4,324,328,274,278,274
P98,51,1,2,332,333,281,282,281
P36,52,1,3,333,334,281,282,281
P105,53,1,1,334,335,281,282,281
P35,53,1,2,339,340,286,287,286
P120,54,2,1,344,346,290,292,290
P25,54,2,1,346,348,292,294,292
P53,55,1,1,348,349,293,294,293
P86,55,3,1,349,352,294,297,294
P72,8,6,4,51,358,344,350,43
P21,56,3,5,358,361,302,305,302
P67,56,3,2,361,364,305,308,305
P60,58,1,3,364,365,306,307,306
P106,59,2,2,365,367,306,308,306
P69,60,1,1,367,368,307,308,307
P48,9,6,2,60,374,359,365,51
P22,12,6,1,81,376,358,364,69
P9,12,6,5,85,378,360,366,73
P38,13,5,3,100,379,361,366,87
P39,13,6,4,104,381,362,368,91
P34,14,6,3,112,383,363,369,98
P42,15,6,5,118,385,364,370,103
P74,16,5,5,124,386,365,370,108
P33,17,6,5,128,388,365,371,111
P51,24,5,4,156,389,360,365,132
P40,25,6,4,163,391,360,366,138
P44,27,5,4,173,392,360,365,146
P79,28,5,4,185,393,360,365,157
P118,32,5,2,189,394,357,362,157
P31,34,6,2,207,396,356,362,173
P82,37,5,2,223,397,355,360,186
P30,38,6,2,229,399,355,361,191
P112,42,6,4,245,401,353,359,203
P78,42,6,3,252,403,355,361,210
P4,43,6,5,264,405,356,362,221
P54,43,5,3,268,406,358,363,225
P96,43,6,1,272,408,359,365,229
P58,46,6,3,280,410,358,364,234
P115,47,5,1,288,411,359,364,241
P71,48,5,2,301,412,359,364,253
P76,48,6,2,305,414,360,366,257
P55,49,6,3,312,416,361,367,263
P64,49,5,1,316,417,363,368,267
P49,50,6,4,320,419,363,369,270
P103,51,5,1,328,420,364,369,277
P20,53,6,5,335,422,363,369,282
P61,53,6,5,340,424,365,371,287
P95,55,6,1,352,426,365,371,297
P73,60,5,2,368,427,362,367,308
