Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P66,1,1,3,1,2,0,1,0
P6,2,1,1,2,3,0,1,0
P68,3,2,5,3,5,0,2,0
P81,4,3,1,5,8,1,4,1
P80,7,2,2,8,10,1,3,1
P113,9,2,3,10,12,1,3,1
P92,12,1,1,12,13,0,1,0
P114,13,1,5,13,14,0,1,0
P85,14,1,1,14,15,0,1,0
P102,15,1,4,15,16,0,1,0
P17,16,1,4,16,17,0,1,0
P3,14,2,1,17,19,3,5,3
P7,13,2,5,19,21,6,8,6
P99,12,2,5,21,23,9,11,9
P45,23,2,2,23,25,0,2,0
P63,23,2,5,25,27,2,4,2
P10,26,2,4,27,29,1,3,1
P100,28,2,4,29,31,1,3,1
P75,27,2,5,31,33,4,6,4
P18,34,1,4,34,35,0,1,0
P59,32,2,5,33,36,2,4,1
P87,32,2,3,36,38,4,6,4
P50,38,1,4,38,39,0,1,0
P8,38,1,5,39,40,1,2,1
P1,40,1,1,40,41,0,1,0
P62,38,2,2,41,43,3,5,3
P83,37,2,1,43,45,6,8,6
P89,34,2,5,45,47,11,13,11
P47,48,1,1,48,49,0,1,0
P101,11,3,4,47,51,37,40,36
P98,51,1,2,51,52,0,1,0
P36,52,1,3,52,53,0,1,0
P105,53,1,1,53,54,0,1,0
P35,53,1,2,54,55,1,2,1
P53,55,1,1,55,56,0,1,0
P12,48,2,4,56,58,8,10,8
P60,58,1,3,58,59,0,1,0
P106,59,2,2,59,61,0,2,0
P69,60,1,1,61,62,1,2,1
P120,54,2,1,62,64,8,10,8
P25,54,2,1,64,66,10,12,10
P11,37,3,1,66,69,29,32,29
P110,24,3,4,69,72,45,48,45
P116,47,3,1,72,75,25,28,25
P13,21,3,2,75,78,54,57,54
P14,13,3,1,78,81,65,68,65
P16,22,3,5,81,84,59,62,59
P2,47,3,2,84,87,37,40,37
P21,56,3,5,87,90,31,34,31
P24,49,3,1,90,93,41,44,41
P26,24,3,4,93,96,69,72,69
P27,40,3,2,96,99,56,59,56
P28,23,3,2,99,102,76,79,76
P29,42,3,1,102,105,60,63,60
P37,25,3,1,105,108,80,83,80
P41,9,3,2,108,111,99,102,99
P43,34,3,5,111,114,77,80,77
P52,33,3,5,114,117,81,84,81
P56,7,3,4,117,120,110,113,110
P65,38,3,4,120,123,82,85,82
P67,56,3,2,123,126,67,70,67
P77,45,3,4,126,129,81,84,81
P86,55,3,1,129,132,74,77,74
P107,26,4,4,132,136,106,110,106
P108,13,4,1,136,140,123,127,123
P109,10,4,1,140,144,130,134,130
P111,18,4,5,144,148,126,130,126
P15,5,4,1,148,152,143,147,143
P32,10,4,4,152,156,142,146,142
P46,32,4,1,156,160,124,128,124
P57,10,4,1,160,164,150,154,150
P70,46,4,1,164,168,118,122,118
P88,42,4,2,168,172,126,130,126
P90,36,4,2,172,176,136,140,136
P91,50,4,4,176,180,126,130,126
P93,42,4,3,180,184,138,142,138
P94,27,4,4,184,188,157,161,157
P97,3,4,3,188,192,185,189,185
P103,51,5,1,192,197,141,146,141
P115,47,5,1,197,202,150,155,150
P117,3,5,4,202,207,199,204,199
P118,32,5,2,207,212,175,180,175
P119,3,5,1,212,217,209,214,209
P19,5,5,3,217,222,212,217,212
P38,13,5,3,222,227,209,214,209
P44,27,5,4,227,232,200,205,200
P5,5,5,4,232,237,227,232,227
P51,24,5,4,237,242,213,218,213
P54,43,5,3,242,247,199,204,199
P64,49,5,1,247,252,198,203,198
P71,48,5,2,252,257,204,209,204
P73,60,5,2,257,262,197,202,197
P74,16,5,5,262,267,246,251,246
P79,28,5,4,267,272,239,244,239
P82,37,5,2,272,277,235,240,235
P104,3,6,5,277,283,274,280,274
P112,42,6,4,283,289,241,247,241
P20,53,6,5,289,295,236,242,236
P22,12,6,1,295,301,283,289,283
P23,2,6,2,301,307,299,305,299
P30,38,6,2,307,313,269,275,269
P31,34,6,2,313,319,279,285,279
P33,17,6,5,319,325,302,308,302
P34,14,6,3,325,331,311,317,311
P39,13,6,4,331,337,318,324,318
P4,43,6,5,337,343,294,300,294
P40,25,6,4,343,349,318,324,318
P42,15,6,5,349,355,334,340,334
P48,9,6,2,355,361,346,352,346
P49,50,6,4,361,367,311,317,311
P55,49,6,3,367,373,318,324,318
P58,46,6,3,373,379,327,333,327
P61,53,6,5,379,385,326,332,326
P72,8,6,4,385,391,377,383,377
P76,48,6,2,391,397,343,349,343
P78,42,6,3,397,403,355,361,355
P84,4,6,1,403,409,399,405,399
P9,12,6,5,409,415,397,403,397
P95,55,6,1,415,421,360,366,360
P96,43,6,1,421,427,378,384,378
