Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P117,2,3,1,12,15,10,13,10
P38,4,4,5,19,23,15,19,15
P42,7,4,2,55,59,48,52,48
P31,9,2,2,67,69,58,60,58
P78,10,4,4,73,77,63,67,63
P84,12,2,1,85,87,73,75,73
P79,13,1,2,95,96,82,83,82
P51,15,4,1,108,112,93,97,93
P96,16,2,3,124,126,108,110,108
P71,3,6,3,15,140,131,137,12
P10,21,2,2,140,142,119,121,119
P21,23,2,3,142,144,119,121,119
P34,25,2,2,156,158,131,133,131
P69,27,4,1,166,170,139,143,139
P97,29,1,1,194,195,165,166,165
P90,4,6,4,27,205,195,201,23
P109,32,3,1,205,208,173,176,173
P35,32,1,1,208,209,176,177,176
P94,33,3,2,217,220,184,187,184
P99,4,6,5,31,242,232,238,27
P66,36,2,4,242,244,206,208,206
P4,37,1,1,244,245,207,208,207
P13,38,1,4,257,258,219,220,219
P114,0,12,2,0,282,270,282,0
P112,40,2,4,286,288,246,248,246
P30,41,4,4,288,292,247,251,247
P108,45,2,3,328,330,283,285,283
P57,45,4,3,334,338,289,293,289
P62,45,3,2,338,341,293,296,293
P52,46,1,5,349,350,303,304,303
P86,47,1,1,358,359,311,312,311
P11,48,1,1,363,364,315,316,315
P18,49,1,2,376,377,327,328,327
P67,51,2,1,385,387,334,336,334
P50,56,2,1,443,445,387,389,387
P118,57,2,2,445,447,388,390,388
P81,59,3,4,455,458,396,399,396
P91,7,6,5,59,468,455,461,52
P60,1,11,2,4,471,459,470,3
P102,10,5,3,69,472,457,462,59
P65,13,5,5,91,485,467,472,78
P26,14,8,1,96,489,467,475,82
P107,17,5,2,126,510,488,493,109
P25,24,6,5,148,524,494,500,124
P20,29,8,2,182,552,515,523,153
P39,29,7,5,186,555,519,526,157
P15,35,6,5,236,593,552,558,201
P87,37,5,5,253,602,560,565,216
P23,38,5,5,258,603,560,565,220
P104,42,7,1,292,626,577,584,250
P95,42,8,2,304,638,588,596,262
P110,5,9,3,39,647,633,642,34
P41,48,6,3,364,681,627,633,316
P68,6,9,3,47,702,687,696,41
P45,55,7,5,415,725,663,670,360
P120,56,5,2,431,738,677,682,375
P16,56,5,2,435,739,678,683,379
P29,56,8,2,439,743,679,687,383
P54,60,5,3,462,756,691,696,402
P73,12,10,2,81,762,740,750,69
P59,15,12,3,112,778,751,763,97
P93,26,12,5,162,810,772,784,136
P58,28,10,1,178,820,782,792,150
P98,29,12,1,195,828,787,799,166
P55,33,9,2,213,837,795,804,180
P113,35,9,5,228,846,802,811,193
P61,37,10,1,245,852,805,815,208
P85,37,11,1,249,855,807,818,212
P103,39,11,1,274,870,820,831,235
P1,40,10,3,282,872,822,832,242
P83,42,10,2,300,878,826,836,258
P3,43,11,1,308,881,827,838,265
P17,45,11,2,330,896,840,851,285
P32,47,11,3,350,907,849,860,303
P33,47,9,5,354,908,852,861,307
P37,50,9,5,381,925,866,875,331
P77,53,12,2,395,933,868,880,342
P89,54,12,5,399,937,871,883,345
P111,2,20,2,8,981,959,979,6
P2,15,14,1,104,987,958,972,89
P28,17,16,5,130,999,966,982,113
P9,17,15,4,134,1002,970,985,117
P63,4,20,1,23,1022,998,1018,19
P49,31,13,3,199,1027,983,996,168
P46,38,14,3,262,1045,993,1007,224
P70,43,13,1,312,1058,1002,1015,269
P22,44,13,1,320,1059,1002,1015,276
P82,44,15,5,324,1062,1003,1018,280
P7,45,14,5,341,1064,1005,1019,296
P24,46,15,4,345,1067,1006,1021,299
P5,5,17,5,43,1068,1046,1063,38
P53,49,14,4,377,1078,1015,1029,328
P36,55,14,2,407,1088,1019,1033,352
P40,55,13,5,411,1089,1021,1034,356
P56,59,15,2,451,1108,1034,1049,392
P27,14,20,4,100,1120,1086,1106,86
P74,27,18,4,170,1142,1097,1115,143
P43,29,18,5,190,1144,1097,1115,161
P64,32,18,4,209,1146,1096,1114,177
P72,51,17,2,387,1179,1111,1128,336
P105,60,18,1,458,1201,1123,1141,398
P75,15,24,5,116,1209,1170,1194,101
P100,16,21,1,120,1210,1173,1194,104
P12,24,21,3,144,1211,1166,1187,120
P80,24,22,3,152,1213,1167,1189,128
P8,26,24,5,158,1217,1167,1191,132
P115,34,21,5,220,1218,1163,1184,186
P14,34,22,1,224,1220,1164,1186,190
P116,35,23,2,232,1223,1165,1188,197
P119,42,21,5,296,1232,1169,1190,254
P19,55,22,3,403,1242,1165,1187,348
P101,56,21,3,423,1247,1170,1191,367
P88,10,26,1,77,1257,1221,1247,67
P6,38,27,2,266,1260,1195,1222,228
P44,48,26,1,368,1266,1192,1218,320
P47,48,27,5,372,1269,1194,1221,324
P76,6,30,5,51,1271,1235,1265,45
P106,56,27,2,427,1274,1191,1218,371
P92,38,29,1,270,1279,1212,1241,232
P48,58,29,3,447,1280,1193,1222,389
