Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P117,2,3,1,2,5,0,3,0
P38,4,4,5,5,9,1,5,1
P31,9,2,2,9,11,0,2,0
P79,13,1,2,13,14,0,1,0
P84,12,2,1,12,15,1,3,0
P42,7,4,2,11,18,7,11,4
P96,16,2,3,18,20,2,4,2
P10,21,2,2,21,23,0,2,0
P21,23,2,3,23,25,0,2,0
P34,25,2,2,25,27,0,2,0
P51,15,4,1,20,30,11,15,5
P97,29,1,1,30,31,1,2,1
P35,32,1,1,32,33,0,1,0
P109,32,3,1,33,36,1,4,1
P4,37,1,1,37,38,0,1,0
P13,38,1,4,38,39,0,1,0
P66,36,2,4,36,40,2,4,0
P112,40,2,4,40,42,0,2,0
P69,27,4,1,31,45,14,18,4
P108,45,2,3,45,47,0,2,0
P52,46,1,5,47,48,1,2,1
P11,48,1,1,48,49,0,1,0
P18,49,1,2,49,50,0,1,0
P86,47,1,1,50,51,3,4,3
P67,51,2,1,51,53,0,2,0
P62,45,3,2,53,56,8,11,8
P50,56,2,1,56,58,0,2,0
P118,57,2,2,58,60,1,3,1
P81,59,3,4,60,63,1,4,1
P94,33,3,2,63,66,30,33,30
P30,41,4,4,66,70,25,29,25
P57,45,4,3,70,74,25,29,25
P78,10,4,4,74,78,64,68,64
P102,10,5,3,78,83,68,73,68
P107,17,5,2,83,88,66,71,66
P120,56,5,2,88,93,32,37,32
P16,56,5,2,93,98,37,42,37
P23,38,5,5,98,103,60,65,60
P54,60,5,3,103,108,43,48,43
P65,13,5,5,108,113,95,100,95
P87,37,5,5,113,118,76,81,76
P15,35,6,5,118,124,83,89,83
P25,24,6,5,124,130,100,106,100
P41,48,6,3,130,136,82,88,82
P71,3,6,3,136,142,133,139,133
P90,4,6,4,142,148,138,144,138
P91,7,6,5,148,154,141,147,141
P99,4,6,5,154,160,150,156,150
P104,42,7,1,160,167,118,125,118
P39,29,7,5,167,174,138,145,138
P45,55,7,5,174,181,119,126,119
P20,29,8,2,181,189,152,160,152
P26,14,8,1,189,197,175,183,175
P29,56,8,2,197,205,141,149,141
P95,42,8,2,205,213,163,171,163
P110,5,9,3,213,222,208,217,208
P113,35,9,5,222,231,187,196,187
P33,47,9,5,231,240,184,193,184
P37,50,9,5,240,249,190,199,190
P55,33,9,2,249,258,216,225,216
P68,6,9,3,258,267,252,261,252
P1,40,10,3,267,277,227,237,227
P114,0,12,2,0,287,275,287,0
P58,28,10,1,287,297,259,269,259
P61,37,10,1,297,307,260,270,260
P73,12,10,2,307,317,295,305,295
P83,42,10,2,317,327,275,285,275
P103,39,11,1,327,338,288,299,288
P17,45,11,2,338,349,293,304,293
P3,43,11,1,349,360,306,317,306
P32,47,11,3,360,371,313,324,313
P60,1,11,2,371,382,370,381,370
P85,37,11,1,382,393,345,356,345
P59,15,12,3,393,405,378,390,378
P77,53,12,2,405,417,352,364,352
P89,54,12,5,417,429,363,375,363
P93,26,12,5,429,441,403,415,403
P98,29,12,1,441,453,412,424,412
P22,44,13,1,453,466,409,422,409
P40,55,13,5,466,479,411,424,411
P49,31,13,3,479,492,448,461,448
P70,43,13,1,492,505,449,462,449
P2,15,14,1,505,519,490,504,490
P36,55,14,2,519,533,464,478,464
P46,38,14,3,533,547,495,509,495
P53,49,14,4,547,561,498,512,498
P7,45,14,5,561,575,516,530,516
P24,46,15,4,575,590,529,544,529
P56,59,15,2,590,605,531,546,531
P82,44,15,5,605,620,561,576,561
P9,17,15,4,620,635,603,618,603
P28,17,16,5,635,651,618,634,618
P5,5,17,5,651,668,646,663,646
P72,51,17,2,668,685,617,634,617
P105,60,18,1,685,703,625,643,625
P43,29,18,5,703,721,674,692,674
P64,32,18,4,721,739,689,707,689
P74,27,18,4,739,757,712,730,712
P111,2,20,2,757,777,755,775,755
P27,14,20,4,777,797,763,783,763
P63,4,20,1,797,817,793,813,793
P100,16,21,1,817,838,801,822,801
P101,56,21,3,838,859,782,803,782
P115,34,21,5,859,880,825,846,825
P119,42,21,5,880,901,838,859,838
P12,24,21,3,901,922,877,898,877
P14,34,22,1,922,944,888,910,888
P19,55,22,3,944,966,889,911,889
P80,24,22,3,966,988,942,964,942
P116,35,23,2,988,1011,953,976,953
P75,15,24,5,1011,1035,996,1020,996
P8,26,24,5,1035,1059,1009,1033,1009
P44,48,26,1,1059,1085,1011,1037,1011
P88,10,26,1,1085,1111,1075,1101,1075
P106,56,27,2,1111,1138,1055,1082,1055
P47,48,27,5,1138,1165,1090,1117,1090
P6,38,27,2,1165,1192,1127,1154,1127
P48,58,29,3,1192,1221,1134,1163,1134
P92,38,29,1,1221,1250,1183,1212,1183
P76,6,30,5,1250,1280,1244,1274,1244
