Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P6,0,27,2,0,27,0,27,0
P17,2,11,2,27,38,25,36,25
P5,2,16,2,38,54,36,52,36
P1,3,10,3,54,64,51,61,51
P11,3,12,4,64,76,61,73,61
P12,3,21,3,76,97,73,94,73
P14,3,22,1,97,119,94,116,94
P19,3,22,3,119,141,116,138,116
P3,3,27,1,141,168,138,165,138
P10,4,16,3,168,184,164,180,164
P21,5,21,3,184,205,179,200,179
P23,5,27,2,205,232,200,227,200
P24,5,24,4,232,256,227,251,227
P22,6,18,1,256,274,250,268,250
P29,6,28,3,274,302,268,296,268
P30,6,30,4,302,332,296,326,296
P2,7,17,2,332,349,325,342,325
P26,7,20,1,349,369,342,362,342
P27,7,11,3,369,380,362,373,362
P13,8,11,4,380,391,372,383,372
P25,8,30,5,391,421,383,413,383
P8,8,10,2,421,431,413,423,413
P15,9,30,5,431,461,422,452,422
P18,9,12,2,461,473,452,464,452
P16,11,28,2,473,501,462,490,462
P28,12,18,1,501,519,489,507,489
P4,13,11,1,519,530,506,517,506
P7,13,17,4,530,547,517,534,517
P9,13,20,3,547,567,534,554,534
P20,14,30,3,567,597,553,583,553
