Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P6,0,27,2,0,27,0,27,0
P14,3,22,1,27,49,24,46,24
P3,3,27,1,49,76,46,73,46
P22,6,18,1,76,94,70,88,70
P26,7,20,1,94,114,87,107,87
P28,12,18,1,114,132,102,120,102
P4,13,11,1,132,143,119,130,119
P17,2,11,2,143,154,141,152,141
P5,2,16,2,154,170,152,168,152
P23,5,27,2,170,197,165,192,165
P2,7,17,2,197,214,190,207,190
P8,8,10,2,214,224,206,216,206
P18,9,12,2,224,236,215,227,215
P16,11,28,2,236,264,225,253,225
P1,3,10,3,264,274,261,271,261
P12,3,21,3,274,295,271,292,271
P19,3,22,3,295,317,292,314,292
P10,4,16,3,317,333,313,329,313
P21,5,21,3,333,354,328,349,328
P29,6,28,3,354,382,348,376,348
P27,7,11,3,382,393,375,386,375
P9,13,20,3,393,413,380,400,380
P20,14,30,3,413,443,399,429,399
P11,3,12,4,443,455,440,452,440
P24,5,24,4,455,479,450,474,450
P30,6,30,4,479,509,473,503,473
P13,8,11,4,509,520,501,512,501
P7,13,17,4,520,537,507,524,507
P25,8,30,5,537,567,529,559,529
P15,9,30,5,567,597,558,588,558
