Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P17,2,11,2,4,215,202,213,2
P1,3,10,3,12,253,240,250,9
P11,3,12,4,16,257,242,254,13
P27,7,11,3,76,316,298,309,69
P13,8,11,4,80,319,300,311,72
P8,8,10,2,88,325,307,317,80
P18,9,12,2,100,333,312,324,91
P5,2,16,2,8,345,327,343,6
P4,13,11,1,116,348,324,335,103
P10,4,16,3,36,380,360,376,32
P22,6,18,1,56,478,454,472,50
P2,7,17,2,68,487,463,480,61
P26,7,20,1,72,491,464,484,65
P28,12,18,1,108,505,475,493,96
P7,13,17,4,120,506,476,493,107
P9,13,20,3,124,510,477,497,111
P12,3,21,3,20,515,491,512,17
P14,3,22,1,24,517,492,514,21
P19,3,22,3,28,519,494,516,25
P6,0,27,2,0,526,499,526,0
P21,5,21,3,44,527,501,522,39
P24,5,24,4,52,535,506,530,47
P3,3,27,1,32,562,532,559,29
P23,5,27,2,48,565,533,560,43
P29,6,28,3,60,569,535,563,54
P16,11,28,2,104,585,546,574,93
P30,6,30,4,64,591,555,585,58
P25,8,30,5,84,593,555,585,76
P15,9,30,5,96,595,556,586,87
P20,14,30,3,128,597,553,583,114
