Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P28,1,2,1,4,6,3,5,3
P5,1,1,1,6,7,5,6,5
P18,2,1,2,7,8,5,6,5
P30,2,2,5,12,14,10,12,10
P1,3,1,3,18,19,15,16,15
P12,3,1,4,19,20,16,17,16
P13,3,3,3,20,23,17,20,17
P15,3,4,1,23,27,20,24,20
P20,3,4,3,27,31,24,28,24
P11,4,2,3,35,37,31,33,31
P7,0,5,2,0,38,33,38,0
P22,5,3,3,38,41,33,36,33
P6,6,2,5,45,47,39,41,39
P2,7,2,2,47,49,40,42,40
P25,7,2,4,49,51,42,44,42
P14,8,1,4,55,56,47,48,47
P9,8,1,2,56,57,48,49,48
P19,9,1,2,61,62,52,53,52
P29,10,4,3,62,66,52,56,52
P26,12,3,5,70,73,58,61,58
P24,2,5,2,8,74,67,72,6
P10,13,3,3,74,77,61,64,61
P8,13,2,4,77,79,64,66,64
P4,2,5,4,14,84,77,82,12
P3,3,6,5,31,86,77,83,28
P23,6,6,3,41,88,76,82,35
P27,7,6,3,51,90,77,83,44
P16,9,6,5,57,92,77,83,48
P17,11,5,2,66,93,77,82,55
P21,14,6,3,79,95,75,81,65
