Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P7,0,5,2,0,5,0,5,0
P1,3,1,3,5,6,2,3,2
P12,3,1,4,6,7,3,4,3
P18,2,1,2,7,8,5,6,5
P14,8,1,4,8,9,0,1,0
P19,9,1,2,9,10,0,1,0
P5,1,1,1,10,11,9,10,9
P9,8,1,2,11,12,3,4,3
P11,4,2,3,12,14,8,10,8
P2,7,2,2,14,16,7,9,7
P25,7,2,4,16,18,9,11,9
P28,1,2,1,18,20,17,19,17
P30,2,2,5,20,22,18,20,18
P6,6,2,5,22,24,16,18,16
P8,13,2,4,24,26,11,13,11
P10,13,3,3,26,29,13,16,13
P13,3,3,3,29,32,26,29,26
P22,5,3,3,32,35,27,30,27
P26,12,3,5,35,38,23,26,23
P15,3,4,1,38,42,35,39,35
P20,3,4,3,42,46,39,43,39
P29,10,4,3,46,50,36,40,36
P17,11,5,2,50,55,39,44,39
P24,2,5,2,55,60,53,58,53
P4,2,5,4,60,65,58,63,58
P16,9,6,5,65,71,56,62,56
P21,14,6,3,71,77,57,63,57
P23,6,6,3,77,83,71,77,71
P27,7,6,3,83,89,76,82,76
P3,3,6,5,89,95,86,92,86
