Process ID,Arrival Time,Burst Time,Priority,Type
P6,1,12,2,CPU-bound
P63,1,13,3,CPU-bound
P8,1,27,2,CPU-bound
P118,2,29,1,CPU-bound
P109,3,28,5,CPU-bound
P110,3,20,1,CPU-bound
P111,3,28,4,CPU-bound
P113,3,26,1,CPU-bound
P65,3,17,5,CPU-bound
P92,3,22,3,CPU-bound
P99,3,30,5,CPU-bound
P48,4,22,4,CPU-bound
P77,4,20,1,CPU-bound
P80,4,30,1,CPU-bound
P15,5,22,1,CPU-bound
P19,5,27,3,CPU-bound
P24,5,17,1,CPU-bound
P53,7,19,4,CPU-bound
P76,7,17,2,CPU-bound
P69,8,25,5,CPU-bound
P39,9,18,2,CPU-bound
P46,9,30,2,CPU-bound
P104,10,22,1,CPU-bound
P54,10,24,1,CPU-bound
P70,10,18,5,CPU-bound
P96,11,18,4,CPU-bound
P108,12,19,2,CPU-bound
P22,12,12,1,CPU-bound
P88,12,13,1,CPU-bound
P94,12,16,5,CPU-bound
P103,13,22,1,CPU-bound
P14,13,20,1,CPU-bound
P36,13,28,3,CPU-bound
P37,13,30,4,CPU-bound
P72,13,27,2,CPU-bound
P3,14,14,1,CPU-bound
P33,14,20,1,CPU-bound
P34,14,11,3,CPU-bound
P7,14,26,5,CPU-bound
P81,14,12,1,CPU-bound
P117,15,28,5,CPU-bound
P40,15,27,5,CPU-bound
P97,15,12,4,CPU-bound
P17,16,11,4,CPU-bound
P41,16,28,4,CPU-bound
P50,16,27,1,CPU-bound
P106,18,23,5,CPU-bound
P13,21,18,2,CPU-bound
P16,22,21,5,CPU-bound
P27,23,21,2,CPU-bound
P43,23,17,2,CPU-bound
P60,23,15,5,CPU-bound
P105,24,18,4,CPU-bound
P25,24,18,4,CPU-bound
P116,25,13,5,CPU-bound
P35,25,18,1,CPU-bound
P38,25,30,4,CPU-bound
P10,26,17,4,CPU-bound
P102,26,25,4,CPU-bound
P119,26,28,5,CPU-bound
P90,27,23,4,CPU-bound
P75,28,26,4,CPU-bound
P95,28,14,4,CPU-bound
P31,29,22,3,CPU-bound
P112,32,26,2,CPU-bound
P44,32,25,1,CPU-bound
P83,32,17,3,CPU-bound
P120,33,20,3,CPU-bound
P18,34,13,4,CPU-bound
P30,34,17,2,CPU-bound
P85,34,14,5,CPU-bound
P86,36,25,2,CPU-bound
P11,37,18,1,CPU-bound
P5,37,23,1,CPU-bound
P78,37,27,2,CPU-bound
P79,37,17,1,CPU-bound
P115,38,12,2,CPU-bound
P29,38,30,2,CPU-bound
P49,38,24,5,CPU-bound
P59,38,16,2,CPU-bound
P62,38,20,4,CPU-bound
P1,40,13,1,CPU-bound
P26,40,21,2,CPU-bound
P107,42,25,2,CPU-bound
P23,42,17,3,CPU-bound
P28,42,18,1,CPU-bound
P74,42,30,3,CPU-bound
P84,42,25,2,CPU-bound
P89,42,23,3,CPU-bound
P4,43,27,1,CPU-bound
P51,43,13,5,CPU-bound
P73,45,19,4,CPU-bound
P9,45,30,5,CPU-bound
P55,46,18,5,CPU-bound
P67,46,25,1,CPU-bound
P2,47,18,2,CPU-bound
P12,48,15,4,CPU-bound
P45,48,11,1,CPU-bound
P52,48,18,3,CPU-bound
P56,48,15,5,CPU-bound
P68,48,27,2,CPU-bound
P61,49,26,1,CPU-bound
P47,50,23,5,CPU-bound
P87,50,25,4,CPU-bound
P93,51,13,2,CPU-bound
P98,51,27,1,CPU-bound
P100,53,10,1,CPU-bound
P20,53,30,5,CPU-bound
P58,53,30,5,CPU-bound
P114,54,15,1,CPU-bound
P71,55,29,4,CPU-bound
P82,55,20,1,CPU-bound
P91,55,11,1,CPU-bound
P21,56,21,5,CPU-bound
P64,56,19,2,CPU-bound
P42,57,28,4,CPU-bound
P57,58,13,3,CPU-bound
P101,59,17,2,CPU-bound
P32,59,30,5,CPU-bound
P66,60,12,1,CPU-bound
