Process ID,Arrival Time,Burst Time,Priority,Type
P114,0,12,2,CPU-bound
P60,1,11,2,Mixed
P111,2,20,2,CPU-bound
P117,2,3,1,I/O-bound
P71,3,6,3,I/O-bound
P38,4,4,5,I/O-bound
P63,4,20,1,CPU-bound
P90,4,6,4,Mixed
P99,4,6,5,Mixed
P110,5,9,3,Mixed
P5,5,17,5,CPU-bound
P68,6,9,3,Mixed
P76,6,30,5,CPU-bound
P42,7,4,2,I/O-bound
P91,7,6,5,Mixed
P31,9,2,2,I/O-bound
P102,10,5,3,I/O-bound
P78,10,4,4,I/O-bound
P88,10,26,1,CPU-bound
P73,12,10,2,Mixed
P84,12,2,1,I/O-bound
P65,13,5,5,Mixed
P79,13,1,2,I/O-bound
P26,14,8,1,Mixed
P27,14,20,4,CPU-bound
P2,15,14,1,CPU-bound
P51,15,4,1,Mixed
P59,15,12,3,CPU-bound
P75,15,24,5,CPU-bound
P100,16,21,1,CPU-bound
P96,16,2,3,I/O-bound
P107,17,5,2,I/O-bound
P28,17,16,5,CPU-bound
P9,17,15,4,CPU-bound
P10,21,2,2,I/O-bound
P21,23,2,3,I/O-bound
P12,24,21,3,CPU-bound
P25,24,6,5,I/O-bound
P80,24,22,3,CPU-bound
P34,25,2,2,I/O-bound
P8,26,24,5,CPU-bound
P93,26,12,5,Mixed
P69,27,4,1,I/O-bound
P74,27,18,4,CPU-bound
P58,28,10,1,Mixed
P20,29,8,2,Mixed
P39,29,7,5,Mixed
P43,29,18,5,CPU-bound
P97,29,1,1,I/O-bound
P98,29,12,1,Mixed
P49,31,13,3,CPU-bound
P109,32,3,1,I/O-bound
P35,32,1,1,I/O-bound
P64,32,18,4,CPU-bound
P55,33,9,2,Mixed
P94,33,3,2,I/O-bound
P115,34,21,5,CPU-bound
P14,34,22,1,CPU-bound
P113,35,9,5,Mixed
P116,35,23,2,CPU-bound
P15,35,6,5,I/O-bound
P66,36,2,4,I/O-bound
P4,37,1,1,I/O-bound
P61,37,10,1,CPU-bound
P85,37,11,1,Mixed
P87,37,5,5,I/O-bound
P13,38,1,4,I/O-bound
P23,38,5,5,Mixed
P46,38,14,3,CPU-bound
P6,38,27,2,CPU-bound
P92,38,29,1,CPU-bound
P103,39,11,1,Mixed
P1,40,10,3,CPU-bound
P112,40,2,4,I/O-bound
P30,41,4,4,I/O-bound
P104,42,7,1,Mixed
P119,42,21,5,CPU-bound
P83,42,10,2,Mixed
P95,42,8,2,Mixed
P3,43,11,1,Mixed
P70,43,13,1,Mixed
P22,44,13,1,Mixed
P82,44,15,5,Mixed
P108,45,2,3,I/O-bound
P17,45,11,2,CPU-bound
P57,45,4,3,I/O-bound
P62,45,3,2,Mixed
P7,45,14,5,Mixed
P24,46,15,4,CPU-bound
P52,46,1,5,I/O-bound
P32,47,11,3,Mixed
P33,47,9,5,Mixed
P86,47,1,1,I/O-bound
P11,48,1,1,I/O-bound
P41,48,6,3,I/O-bound
P44,48,26,1,CPU-bound
P47,48,27,5,CPU-bound
P18,49,1,2,I/O-bound
P53,49,14,4,CPU-bound
P37,50,9,5,Mixed
P67,51,2,1,I/O-bound
P72,51,17,2,CPU-bound
P77,53,12,2,CPU-bound
P89,54,12,5,CPU-bound
P19,55,22,3,CPU-bound
P36,55,14,2,CPU-bound
P40,55,13,5,CPU-bound
P45,55,7,5,Mixed
P101,56,21,3,CPU-bound
P106,56,27,2,CPU-bound
P120,56,5,2,I/O-bound
P16,56,5,2,I/O-bound
P29,56,8,2,Mixed
P50,56,2,1,I/O-bound
P118,57,2,2,I/O-bound
P48,58,29,3,CPU-bound
P56,59,15,2,Mixed
P81,59,3,4,I/O-bound
P105,60,18,1,CPU-bound
P54,60,5,3,Mixed
