Process ID,Arrival Time,Burst Time,Priority,Type
P7,0,5,2,I/O-bound
P28,1,2,1,I/O-bound
P5,1,1,1,I/O-bound
P18,2,1,2,I/O-bound
P24,2,5,2,I/O-bound
P30,2,2,5,I/O-bound
P4,2,5,4,I/O-bound
P1,3,1,3,I/O-bound
P12,3,1,4,I/O-bound
P13,3,3,3,I/O-bound
P15,3,4,1,I/O-bound
P20,3,4,3,I/O-bound
P3,3,6,5,I/O-bound
P11,4,2,3,I/O-bound
P22,5,3,3,I/O-bound
P23,6,6,3,I/O-bound
P6,6,2,5,I/O-bound
P2,7,2,2,I/O-bound
P25,7,2,4,I/O-bound
P27,7,6,3,I/O-bound
P14,8,1,4,I/O-bound
P9,8,1,2,I/O-bound
P16,9,6,5,I/O-bound
P19,9,1,2,I/O-bound
P29,10,4,3,I/O-bound
P17,11,5,2,I/O-bound
P26,12,3,5,I/O-bound
P10,13,3,3,I/O-bound
P8,13,2,4,I/O-bound
P21,14,6,3,I/O-bound
