Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P6,1,12,2,1,489,476,488,0
P22,12,12,1,109,705,681,693,97
P34,14,11,3,149,784,759,770,135
P81,14,12,1,157,800,774,786,143
P97,15,12,4,169,824,797,809,154
P17,16,11,4,173,831,804,815,157
P115,38,12,2,305,1095,1045,1057,267
P45,48,11,1,389,1262,1203,1214,341
P100,53,10,1,425,1332,1269,1279,372
P91,55,11,1,449,1379,1313,1324,394
P66,60,12,1,477,1435,1363,1375,417
P63,1,13,3,5,1436,1422,1435,4
P8,1,27,2,9,1451,1423,1450,8
P109,3,28,5,17,1483,1452,1480,14
P110,3,20,1,21,1491,1468,1488,18
P111,3,28,4,25,1507,1476,1504,22
P113,3,26,1,29,1521,1492,1518,26
P65,3,17,5,33,1526,1506,1523,30
P92,3,22,3,37,1536,1511,1533,34
P48,4,22,4,45,1562,1536,1558,41
P77,4,20,1,49,1570,1546,1566,45
P15,5,22,1,57,1596,1569,1591,52
P19,5,27,3,61,1611,1579,1606,56
P24,5,17,1,65,1616,1594,1611,60
P53,7,19,4,69,1623,1597,1616,62
P76,7,17,2,73,1628,1604,1621,66
P69,8,25,5,77,1641,1608,1633,69
P39,9,18,2,81,1647,1620,1638,72
P104,10,22,1,89,1673,1641,1663,79
P54,10,24,1,93,1685,1651,1675,83
P70,10,18,5,97,1691,1663,1681,87
P96,11,18,4,101,1697,1668,1686,90
P108,12,19,2,105,1704,1673,1692,93
P88,12,13,1,113,1705,1680,1693,101
P94,12,16,5,117,1709,1681,1697,105
P103,13,22,1,121,1719,1684,1706,108
P14,13,20,1,125,1727,1694,1714,112
P36,13,28,3,129,1743,1702,1730,116
P72,13,27,2,137,1774,1734,1761,124
P3,14,14,1,141,1776,1748,1762,127
P33,14,20,1,145,1784,1750,1770,131
P7,14,26,5,153,1798,1758,1784,139
P117,15,28,5,161,1814,1771,1799,146
P40,15,27,5,165,1829,1787,1814,150
P41,16,28,4,177,1845,1801,1829,161
P50,16,27,1,181,1860,1817,1844,165
P106,18,23,5,185,1871,1830,1853,167
P13,21,18,2,189,1877,1838,1856,168
P16,22,21,5,193,1886,1843,1864,171
P27,23,21,2,197,1895,1851,1872,174
P43,23,17,2,201,1900,1860,1877,178
P60,23,15,5,205,1903,1865,1880,182
P105,24,18,4,209,1909,1867,1885,185
P25,24,18,4,213,1915,1873,1891,189
P116,25,13,5,217,1916,1878,1891,192
P35,25,18,1,221,1922,1879,1897,196
P10,26,17,4,229,1943,1900,1917,203
P102,26,25,4,233,1956,1905,1930,207
P119,26,28,5,237,1972,1918,1946,211
P90,27,23,4,241,1983,1933,1956,214
P75,28,26,4,245,1997,1943,1969,217
P95,28,14,4,249,1999,1957,1971,221
P31,29,22,3,253,2009,1958,1980,224
P112,32,26,2,257,2023,1965,1991,225
P44,32,25,1,261,2036,1979,2004,229
P83,32,17,3,265,2041,1992,2009,233
P120,33,20,3,269,2049,1996,2016,236
P18,34,13,4,273,2050,2003,2016,239
P30,34,17,2,277,2055,2004,2021,243
P85,34,14,5,281,2057,2009,2023,247
P86,36,25,2,285,2070,2009,2034,249
P11,37,18,1,289,2076,2021,2039,252
P5,37,23,1,293,2087,2027,2050,256
P78,37,27,2,297,2102,2038,2065,260
P79,37,17,1,301,2107,2053,2070,264
P49,38,24,5,313,2135,2073,2097,275
P59,38,16,2,317,2139,2085,2101,279
P62,38,20,4,321,2147,2089,2109,283
P1,40,13,1,325,2148,2095,2108,285
P26,40,21,2,329,2157,2096,2117,289
P107,42,25,2,333,2170,2103,2128,291
P23,42,17,3,337,2175,2116,2133,295
P28,42,18,1,341,2181,2121,2139,299
P84,42,25,2,349,2210,2143,2168,307
P89,42,23,3,353,2221,2156,2179,311
P4,43,27,1,357,2236,2166,2193,314
P51,43,13,5,361,2237,2181,2194,318
P73,45,19,4,365,2244,2180,2199,320
P55,46,18,5,373,2266,2202,2220,327
P67,46,25,1,377,2279,2208,2233,331
P2,47,18,2,381,2285,2220,2238,334
P12,48,15,4,385,2288,2225,2240,337
P52,48,18,3,393,2294,2228,2246,345
P56,48,15,5,397,2297,2234,2249,349
P68,48,27,2,401,2312,2237,2264,353
P61,49,26,1,405,2326,2251,2277,356
P47,50,23,5,409,2337,2264,2287,359
P87,50,25,4,413,2350,2275,2300,363
P93,51,13,2,417,2351,2287,2300,366
P98,51,27,1,421,2366,2288,2315,370
P114,54,15,1,437,2401,2332,2347,383
P82,55,20,1,445,2425,2350,2370,390
P21,56,21,5,453,2434,2357,2378,397
P64,56,19,2,457,2441,2366,2385,401
P42,57,28,4,461,2457,2372,2400,404
P57,58,13,3,465,2458,2387,2400,407
P101,59,17,2,469,2463,2387,2404,410
P118,2,29,1,13,2480,2449,2478,11
P99,3,30,5,41,2482,2449,2479,38
P80,4,30,1,53,2484,2450,2480,49
P46,9,30,2,85,2486,2447,2477,76
P37,13,30,4,133,2488,2445,2475,120
P38,25,30,4,225,2490,2435,2465,200
P29,38,30,2,309,2492,2424,2454,271
P74,42,30,3,345,2494,2422,2452,303
P9,45,30,5,369,2496,2421,2451,324
P20,53,30,5,429,2498,2415,2445,376
P58,53,30,5,433,2500,2417,2447,380
P71,55,29,4,441,2501,2417,2446,386
P32,59,30,5,473,2503,2414,2444,414
