Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P6,1,12,2,1,13,0,12,0
P118,2,29,1,13,42,11,40,11
P110,3,20,1,42,62,39,59,39
P113,3,26,1,62,88,59,85,59
P77,4,20,1,88,108,84,104,84
P80,4,30,1,108,138,104,134,104
P15,5,22,1,138,160,133,155,133
P24,5,17,1,160,177,155,172,155
P104,10,22,1,177,199,167,189,167
P54,10,24,1,199,223,189,213,189
P22,12,12,1,223,235,211,223,211
P88,12,13,1,235,248,223,236,223
P103,13,22,1,248,270,235,257,235
P14,13,20,1,270,290,257,277,257
P3,14,14,1,290,304,276,290,276
P33,14,20,1,304,324,290,310,290
P81,14,12,1,324,336,310,322,310
P50,16,27,1,336,363,320,347,320
P35,25,18,1,363,381,338,356,338
P44,32,25,1,381,406,349,374,349
P11,37,18,1,406,424,369,387,369
P5,37,23,1,424,447,387,410,387
P79,37,17,1,447,464,410,427,410
P1,40,13,1,464,477,424,437,424
P28,42,18,1,477,495,435,453,435
P4,43,27,1,495,522,452,479,452
P67,46,25,1,522,547,476,501,476
P45,48,11,1,547,558,499,510,499
P61,49,26,1,558,584,509,535,509
P98,51,27,1,584,611,533,560,533
P100,53,10,1,611,621,558,568,558
P114,54,15,1,621,636,567,582,567
P82,55,20,1,636,656,581,601,581
P91,55,11,1,656,667,601,612,601
P66,60,12,1,667,679,607,619,607
P8,1,27,2,679,706,678,705,678
P76,7,17,2,706,723,699,716,699
P39,9,18,2,723,741,714,732,714
P46,9,30,2,741,771,732,762,732
P108,12,19,2,771,790,759,778,759
P72,13,27,2,790,817,777,804,777
P13,21,18,2,817,835,796,814,796
P27,23,21,2,835,856,812,833,812
P43,23,17,2,856,873,833,850,833
P112,32,26,2,873,899,841,867,841
P30,34,17,2,899,916,865,882,865
P86,36,25,2,916,941,880,905,880
P78,37,27,2,941,968,904,931,904
P115,38,12,2,968,980,930,942,930
P29,38,30,2,980,1010,942,972,942
P59,38,16,2,1010,1026,972,988,972
P26,40,21,2,1026,1047,986,1007,986
P107,42,25,2,1047,1072,1005,1030,1005
P84,42,25,2,1072,1097,1030,1055,1030
P2,47,18,2,1097,1115,1050,1068,1050
P68,48,27,2,1115,1142,1067,1094,1067
P93,51,13,2,1142,1155,1091,1104,1091
P64,56,19,2,1155,1174,1099,1118,1099
P101,59,17,2,1174,1191,1115,1132,1115
P63,1,13,3,1191,1204,1190,1203,1190
P92,3,22,3,1204,1226,1201,1223,1201
P19,5,27,3,1226,1253,1221,1248,1221
P36,13,28,3,1253,1281,1240,1268,1240
P34,14,11,3,1281,1292,1267,1278,1267
P31,29,22,3,1292,1314,1263,1285,1263
P83,32,17,3,1314,1331,1282,1299,1282
P120,33,20,3,1331,1351,1298,1318,1298
P23,42,17,3,1351,1368,1309,1326,1309
P74,42,30,3,1368,1398,1326,1356,1326
P89,42,23,3,1398,1421,1356,1379,1356
P52,48,18,3,1421,1439,1373,1391,1373
P57,58,13,3,1439,1452,1381,1394,1381
P111,3,28,4,1452,1480,1449,1477,1449
P48,4,22,4,1480,1502,1476,1498,1476
P53,7,19,4,1502,1521,1495,1514,1495
P96,11,18,4,1521,1539,1510,1528,1510
P37,13,30,4,1539,1569,1526,1556,1526
P97,15,12,4,1569,1581,1554,1566,1554
P17,16,11,4,1581,1592,1565,1576,1565
P41,16,28,4,1592,1620,1576,1604,1576
P105,24,18,4,1620,1638,1596,1614,1596
P25,24,18,4,1638,1656,1614,1632,1614
P38,25,30,4,1656,1686,1631,1661,1631
P10,26,17,4,1686,1703,1660,1677,1660
P102,26,25,4,1703,1728,1677,1702,1677
P90,27,23,4,1728,1751,1701,1724,1701
P75,28,26,4,1751,1777,1723,1749,1723
P95,28,14,4,1777,1791,1749,1763,1749
P18,34,13,4,1791,1804,1757,1770,1757
P62,38,20,4,1804,1824,1766,1786,1766
P73,45,19,4,1824,1843,1779,1798,1779
P12,48,15,4,1843,1858,1795,1810,1795
P87,50,25,4,1858,1883,1808,1833,1808
P71,55,29,4,1883,1912,1828,1857,1828
P42,57,28,4,1912,1940,1855,1883,1855
P109,3,28,5,1940,1968,1937,1965,1937
P65,3,17,5,1968,1985,1965,1982,1965
P99,3,30,5,1985,2015,1982,2012,1982
P69,8,25,5,2015,2040,2007,2032,2007
P70,10,18,5,2040,2058,2030,2048,2030
P94,12,16,5,2058,2074,2046,2062,2046
P7,14,26,5,2074,2100,2060,2086,2060
P117,15,28,5,2100,2128,2085,2113,2085
P40,15,27,5,2128,2155,2113,2140,2113
P106,18,23,5,2155,2178,2137,2160,2137
P16,22,21,5,2178,2199,2156,2177,2156
P60,23,15,5,2199,2214,2176,2191,2176
P116,25,13,5,2214,2227,2189,2202,2189
P119,26,28,5,2227,2255,2201,2229,2201
P85,34,14,5,2255,2269,2221,2235,2221
P49,38,24,5,2269,2293,2231,2255,2231
P51,43,13,5,2293,2306,2250,2263,2250
P9,45,30,5,2306,2336,2261,2291,2261
P55,46,18,5,2336,2354,2290,2308,2290
P56,48,15,5,2354,2369,2306,2321,2306
P47,50,23,5,2369,2392,2319,2342,2319
P20,53,30,5,2392,2422,2339,2369,2339
P58,53,30,5,2422,2452,2369,2399,2369
P21,56,21,5,2452,2473,2396,2417,2396
P32,59,30,5,2473,2503,2414,2444,2414
