Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P6,1,12,2,1,553,540,552,0
P63,1,13,3,5,1050,1036,1049,4
P22,12,12,1,117,1074,1050,1062,105
P34,14,11,3,161,1117,1092,1103,147
P81,14,12,1,169,1125,1099,1111,155
P97,15,12,4,181,1137,1110,1122,166
P17,16,11,4,185,1140,1113,1124,169
P115,38,12,2,341,1296,1246,1258,303
P45,48,11,1,433,1387,1328,1339,385
P100,53,10,1,473,1425,1362,1372,420
P91,55,11,1,501,1452,1386,1397,446
P66,60,12,1,533,1484,1412,1424,473
P88,12,13,1,121,1537,1512,1525,109
P94,12,16,5,125,1541,1513,1529,113
P3,14,14,1,153,1567,1539,1553,139
P60,23,15,5,225,1622,1584,1599,202
P116,25,13,5,237,1631,1593,1606,212
P110,3,20,1,21,1643,1620,1640,18
P95,28,14,4,273,1665,1623,1637,245
P18,34,13,4,305,1694,1647,1660,271
P85,34,14,5,313,1700,1652,1666,279
P65,3,17,5,33,1721,1701,1718,30
P59,38,16,2,353,1733,1679,1695,315
P1,40,13,1,361,1738,1685,1698,321
P51,43,13,5,401,1775,1719,1732,358
P12,48,15,4,429,1802,1739,1754,381
P56,48,15,5,441,1809,1746,1761,393
P93,51,13,2,465,1830,1766,1779,414
P77,4,20,1,49,1846,1822,1842,45
P114,54,15,1,489,1849,1780,1795,435
P57,58,13,3,521,1874,1803,1816,463
P24,5,17,1,65,1891,1869,1886,60
P53,7,19,4,73,1894,1868,1887,66
P76,7,17,2,77,1895,1871,1888,70
P39,9,18,2,85,1901,1874,1892,76
P70,10,18,5,105,1915,1887,1905,95
P96,11,18,4,109,1917,1888,1906,98
P108,12,19,2,113,1920,1889,1908,101
P14,13,20,1,133,1928,1895,1915,120
P33,14,20,1,157,1948,1914,1934,143
P13,21,18,2,205,1978,1939,1957,184
P43,23,17,2,221,1991,1951,1968,198
P105,24,18,4,229,1993,1951,1969,205
P25,24,18,4,233,1995,1953,1971,209
P35,25,18,1,241,1997,1954,1972,216
P10,26,17,4,253,2002,1959,1976,227
P83,32,17,3,293,2035,1986,2003,261
P120,33,20,3,297,2039,1986,2006,264
P30,34,17,2,309,2044,1993,2010,275
P11,37,18,1,321,2050,1995,2013,284
P79,37,17,1,333,2059,2005,2022,296
P62,38,20,4,357,2071,2013,2033,319
P92,3,22,3,37,2077,2052,2074,34
P23,42,17,3,377,2082,2023,2040,335
P28,42,18,1,381,2084,2024,2042,339
P73,45,19,4,405,2103,2039,2058,360
P55,46,18,5,417,2113,2049,2067,371
P2,47,18,2,425,2119,2054,2072,378
P52,48,18,3,437,2121,2055,2073,389
P48,4,22,4,45,2131,2105,2127,41
P82,55,20,1,497,2159,2084,2104,442
P64,56,19,2,509,2166,2091,2110,453
P101,59,17,2,525,2175,2099,2116,466
P15,5,22,1,57,2181,2154,2176,52
P104,10,22,1,97,2195,2163,2185,87
P54,10,24,1,101,2199,2165,2189,91
P103,13,22,1,129,2201,2166,2188,116
P8,1,27,2,9,2216,2188,2215,8
P106,18,23,5,201,2243,2202,2225,183
P109,3,28,5,17,2247,2216,2244,14
P16,22,21,5,213,2248,2205,2226,191
P27,23,21,2,217,2249,2205,2226,194
P90,27,23,4,265,2264,2214,2237,238
P31,29,22,3,277,2270,2219,2241,248
P111,3,28,4,25,2274,2243,2271,22
P113,3,26,1,29,2284,2255,2281,26
P5,37,23,1,325,2291,2231,2254,288
P49,38,24,5,349,2303,2241,2265,311
P26,40,21,2,365,2304,2243,2264,325
P89,42,23,3,393,2319,2254,2277,351
P47,50,23,5,457,2346,2273,2296,407
P21,56,21,5,505,2367,2290,2311,449
P19,5,27,3,61,2382,2350,2377,56
P69,8,25,5,81,2383,2350,2375,73
P36,13,28,3,137,2391,2350,2378,124
P72,13,27,2,145,2398,2358,2385,132
P7,14,26,5,165,2400,2360,2386,151
P117,15,28,5,173,2404,2361,2389,158
P40,15,27,5,177,2407,2365,2392,162
P41,16,28,4,189,2411,2367,2395,173
P50,16,27,1,193,2414,2371,2398,177
P118,2,29,1,13,2415,2384,2413,11
P102,26,25,4,257,2420,2369,2394,231
P119,26,28,5,261,2424,2370,2398,235
P75,28,26,4,269,2426,2372,2398,241
P112,32,26,2,285,2428,2370,2396,253
P44,32,25,1,289,2429,2372,2397,257
P86,36,25,2,317,2430,2369,2394,281
P78,37,27,2,329,2433,2369,2396,292
P107,42,25,2,373,2438,2371,2396,331
P84,42,25,2,389,2443,2376,2401,347
P4,43,27,1,397,2446,2376,2403,354
P99,3,30,5,41,2452,2419,2449,38
P67,46,25,1,421,2453,2382,2407,375
P68,48,27,2,445,2456,2381,2408,397
P61,49,26,1,449,2458,2383,2409,400
P87,50,25,4,461,2459,2384,2409,411
P98,51,27,1,469,2462,2384,2411,418
P42,57,28,4,513,2478,2393,2421,456
P80,4,30,1,53,2480,2446,2476,49
P46,9,30,2,89,2486,2447,2477,80
P37,13,30,4,141,2488,2445,2475,128
P38,25,30,4,245,2490,2435,2465,220
P29,38,30,2,345,2492,2424,2454,307
P74,42,30,3,385,2494,2422,2452,343
P9,45,30,5,409,2496,2421,2451,364
P20,53,30,5,477,2498,2415,2445,424
P58,53,30,5,481,2500,2417,2447,428
P71,55,29,4,493,2501,2417,2446,438
P32,59,30,5,529,2503,2414,2444,470
