Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P66,1,1,3,1,2,0,1,0
P6,2,1,1,2,3,0,1,0
P119,3,5,1,3,8,0,5,0
P81,4,3,1,8,11,4,7,4
P84,4,6,1,11,17,7,13,7
P15,5,4,1,17,21,12,16,12
P109,10,4,1,21,25,11,15,11
P57,10,4,1,25,29,15,19,15
P22,12,6,1,29,35,17,23,17
P92,12,1,1,35,36,23,24,23
P108,13,4,1,36,40,23,27,23
P14,13,3,1,40,43,27,30,27
P3,14,2,1,43,45,29,31,29
P85,14,1,1,45,46,31,32,31
P37,25,3,1,46,49,21,24,21
P46,32,4,1,49,53,17,21,17
P11,37,3,1,53,56,16,19,16
P83,37,2,1,56,58,19,21,19
P1,40,1,1,58,59,18,19,18
P29,42,3,1,59,62,17,20,17
P96,43,6,1,62,68,19,25,19
P70,46,4,1,68,72,22,26,22
P115,47,5,1,72,77,25,30,25
P116,47,3,1,77,80,30,33,30
P47,48,1,1,80,81,32,33,32
P24,49,3,1,81,84,32,35,32
P64,49,5,1,84,89,35,40,35
P103,51,5,1,89,94,38,43,38
P105,53,1,1,94,95,41,42,41
P120,54,2,1,95,97,41,43,41
P25,54,2,1,97,99,43,45,43
P53,55,1,1,99,100,44,45,44
P86,55,3,1,100,103,45,48,45
P95,55,6,1,103,109,48,54,48
P69,60,1,1,109,110,49,50,49
P23,2,6,2,110,116,108,114,108
P80,7,2,2,116,118,109,111,109
P41,9,3,2,118,121,109,112,109
P48,9,6,2,121,127,112,118,112
P13,21,3,2,127,130,106,109,106
P28,23,3,2,130,133,107,110,107
P45,23,2,2,133,135,110,112,110
P118,32,5,2,135,140,103,108,103
P31,34,6,2,140,146,106,112,106
P90,36,4,2,146,150,110,114,110
P82,37,5,2,150,155,113,118,113
P30,38,6,2,155,161,117,123,117
P62,38,2,2,161,163,123,125,123
P27,40,3,2,163,166,123,126,123
P88,42,4,2,166,170,124,128,124
P2,47,3,2,170,173,123,126,123
P71,48,5,2,173,178,125,130,125
P76,48,6,2,178,184,130,136,130
P98,51,1,2,184,185,133,134,133
P35,53,1,2,185,186,132,133,132
P67,56,3,2,186,189,130,133,130
P106,59,2,2,189,191,130,132,130
P73,60,5,2,191,196,131,136,131
P97,3,4,3,196,200,193,197,193
P19,5,5,3,200,205,195,200,195
P113,9,2,3,205,207,196,198,196
P38,13,5,3,207,212,194,199,194
P34,14,6,3,212,218,198,204,198
P87,32,2,3,218,220,186,188,186
P78,42,6,3,220,226,178,184,178
P93,42,4,3,226,230,184,188,184
P54,43,5,3,230,235,187,192,187
P58,46,6,3,235,241,189,195,189
P55,49,6,3,241,247,192,198,192
P36,52,1,3,247,248,195,196,195
P60,58,1,3,248,249,190,191,190
P117,3,5,4,249,254,246,251,246
P5,5,5,4,254,259,249,254,249
P56,7,3,4,259,262,252,255,252
P72,8,6,4,262,268,254,260,254
P32,10,4,4,268,272,258,262,258
P101,11,3,4,272,275,261,264,261
P39,13,6,4,275,281,262,268,262
P102,15,1,4,281,282,266,267,266
P17,16,1,4,282,283,266,267,266
P110,24,3,4,283,286,259,262,259
P26,24,3,4,286,289,262,265,262
P51,24,5,4,289,294,265,270,265
P40,25,6,4,294,300,269,275,269
P10,26,2,4,300,302,274,276,274
P107,26,4,4,302,306,276,280,276
P44,27,5,4,306,311,279,284,279
P94,27,4,4,311,315,284,288,284
P100,28,2,4,315,317,287,289,287
P79,28,5,4,317,322,289,294,289
P18,34,1,4,322,323,288,289,288
P50,38,1,4,323,324,285,286,285
P65,38,3,4,324,327,286,289,286
P112,42,6,4,327,333,285,291,285
P77,45,3,4,333,336,288,291,288
P12,48,2,4,336,338,288,290,288
P49,50,6,4,338,344,288,294,288
P91,50,4,4,344,348,294,298,294
P104,3,6,5,348,354,345,351,345
P68,3,2,5,354,356,351,353,351
P9,12,6,5,356,362,344,350,344
P99,12,2,5,362,364,350,352,350
P114,13,1,5,364,365,351,352,351
P7,13,2,5,365,367,352,354,352
P42,15,6,5,367,373,352,358,352
P74,16,5,5,373,378,357,362,357
P33,17,6,5,378,384,361,367,361
P111,18,4,5,384,388,366,370,366
P16,22,3,5,388,391,366,369,366
P63,23,2,5,391,393,368,370,368
P75,27,2,5,393,395,366,368,366
P59,32,2,5,395,397,363,365,363
P52,33,3,5,397,400,364,367,364
P43,34,3,5,400,403,366,369,366
P89,34,2,5,403,405,369,371,369
P8,38,1,5,405,406,367,368,367
P4,43,6,5,406,412,363,369,363
P20,53,6,5,412,418,359,365,359
P61,53,6,5,418,424,365,371,365
P21,56,3,5,424,427,368,371,368
