Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P114,0,12,2,0,12,0,12,0
P60,1,11,2,12,23,11,22,11
P111,2,20,2,23,43,21,41,21
P117,2,3,1,43,46,41,44,41
P71,3,6,3,46,52,43,49,43
P38,4,4,5,52,56,48,52,48
P63,4,20,1,56,76,52,72,52
P90,4,6,4,76,82,72,78,72
P99,4,6,5,82,88,78,84,78
P110,5,9,3,88,97,83,92,83
P5,5,17,5,97,114,92,109,92
P68,6,9,3,114,123,108,117,108
P76,6,30,5,123,153,117,147,117
P42,7,4,2,153,157,146,150,146
P91,7,6,5,157,163,150,156,150
P31,9,2,2,163,165,154,156,154
P102,10,5,3,165,170,155,160,155
P78,10,4,4,170,174,160,164,160
P88,10,26,1,174,200,164,190,164
P73,12,10,2,200,210,188,198,188
P84,12,2,1,210,212,198,200,198
P65,13,5,5,212,217,199,204,199
P79,13,1,2,217,218,204,205,204
P26,14,8,1,218,226,204,212,204
P27,14,20,4,226,246,212,232,212
P2,15,14,1,246,260,231,245,231
P51,15,4,1,260,264,245,249,245
P59,15,12,3,264,276,249,261,249
P75,15,24,5,276,300,261,285,261
P100,16,21,1,300,321,284,305,284
P96,16,2,3,321,323,305,307,305
P107,17,5,2,323,328,306,311,306
P28,17,16,5,328,344,311,327,311
P9,17,15,4,344,359,327,342,327
P10,21,2,2,359,361,338,340,338
P21,23,2,3,361,363,338,340,338
P12,24,21,3,363,384,339,360,339
P25,24,6,5,384,390,360,366,360
P80,24,22,3,390,412,366,388,366
P34,25,2,2,412,414,387,389,387
P8,26,24,5,414,438,388,412,388
P93,26,12,5,438,450,412,424,412
P69,27,4,1,450,454,423,427,423
P74,27,18,4,454,472,427,445,427
P58,28,10,1,472,482,444,454,444
P20,29,8,2,482,490,453,461,453
P39,29,7,5,490,497,461,468,461
P43,29,18,5,497,515,468,486,468
P97,29,1,1,515,516,486,487,486
P98,29,12,1,516,528,487,499,487
P49,31,13,3,528,541,497,510,497
P109,32,3,1,541,544,509,512,509
P35,32,1,1,544,545,512,513,512
P64,32,18,4,545,563,513,531,513
P55,33,9,2,563,572,530,539,530
P94,33,3,2,572,575,539,542,539
P115,34,21,5,575,596,541,562,541
P14,34,22,1,596,618,562,584,562
P113,35,9,5,618,627,583,592,583
P116,35,23,2,627,650,592,615,592
P15,35,6,5,650,656,615,621,615
P66,36,2,4,656,658,620,622,620
P4,37,1,1,658,659,621,622,621
P61,37,10,1,659,669,622,632,622
P85,37,11,1,669,680,632,643,632
P87,37,5,5,680,685,643,648,643
P13,38,1,4,685,686,647,648,647
P23,38,5,5,686,691,648,653,648
P46,38,14,3,691,705,653,667,653
P6,38,27,2,705,732,667,694,667
P92,38,29,1,732,761,694,723,694
P103,39,11,1,761,772,722,733,722
P1,40,10,3,772,782,732,742,732
P112,40,2,4,782,784,742,744,742
P30,41,4,4,784,788,743,747,743
P104,42,7,1,788,795,746,753,746
P119,42,21,5,795,816,753,774,753
P83,42,10,2,816,826,774,784,774
P95,42,8,2,826,834,784,792,784
P3,43,11,1,834,845,791,802,791
P70,43,13,1,845,858,802,815,802
P22,44,13,1,858,871,814,827,814
P82,44,15,5,871,886,827,842,827
P108,45,2,3,886,888,841,843,841
P17,45,11,2,888,899,843,854,843
P57,45,4,3,899,903,854,858,854
P62,45,3,2,903,906,858,861,858
P7,45,14,5,906,920,861,875,861
P24,46,15,4,920,935,874,889,874
P52,46,1,5,935,936,889,890,889
P32,47,11,3,936,947,889,900,889
P33,47,9,5,947,956,900,909,900
P86,47,1,1,956,957,909,910,909
P11,48,1,1,957,958,909,910,909
P41,48,6,3,958,964,910,916,910
P44,48,26,1,964,990,916,942,916
P47,48,27,5,990,1017,942,969,942
P18,49,1,2,1017,1018,968,969,968
P53,49,14,4,1018,1032,969,983,969
P37,50,9,5,1032,1041,982,991,982
P67,51,2,1,1041,1043,990,992,990
P72,51,17,2,1043,1060,992,1009,992
P77,53,12,2,1060,1072,1007,1019,1007
P89,54,12,5,1072,1084,1018,1030,1018
P19,55,22,3,1084,1106,1029,1051,1029
P36,55,14,2,1106,1120,1051,1065,1051
P40,55,13,5,1120,1133,1065,1078,1065
P45,55,7,5,1133,1140,1078,1085,1078
P101,56,21,3,1140,1161,1084,1105,1084
P106,56,27,2,1161,1188,1105,1132,1105
P120,56,5,2,1188,1193,1132,1137,1132
P16,56,5,2,1193,1198,1137,1142,1137
P29,56,8,2,1198,1206,1142,1150,1142
P50,56,2,1,1206,1208,1150,1152,1150
P118,57,2,2,1208,1210,1151,1153,1151
P48,58,29,3,1210,1239,1152,1181,1152
P56,59,15,2,1239,1254,1180,1195,1180
P81,59,3,4,1254,1257,1195,1198,1195
P105,60,18,1,1257,1275,1197,1215,1197
P54,60,5,3,1275,1280,1215,1220,1215
