Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P117,2,3,1,12,15,10,13,10
P38,4,4,5,19,23,15,19,15
P42,7,4,2,51,55,44,48,44
P31,9,2,2,59,61,50,52,50
P78,10,4,4,65,69,55,59,55
P84,12,2,1,77,79,65,67,65
P79,13,1,2,83,84,70,71,70
P51,15,4,1,96,100,81,85,81
P96,16,2,3,112,114,96,98,96
P10,21,2,2,126,128,105,107,105
P21,23,2,3,128,130,105,107,105
P34,25,2,2,142,144,117,119,117
P69,27,4,1,152,156,125,129,125
P97,29,1,1,176,177,147,148,147
P109,32,3,1,185,188,153,156,153
P35,32,1,1,188,189,156,157,156
P94,33,3,2,197,200,164,167,164
P66,36,2,4,220,222,184,186,184
P4,37,1,1,222,223,185,186,185
P13,38,1,4,235,236,197,198,197
P112,40,2,4,260,262,220,222,220
P30,41,4,4,262,266,221,225,221
P108,45,2,3,298,300,253,255,253
P57,45,4,3,304,308,259,263,259
P62,45,3,2,308,311,263,266,263
P52,46,1,5,319,320,273,274,273
P86,47,1,1,328,329,281,282,281
P11,48,1,1,329,330,281,282,281
P18,49,1,2,342,343,293,294,293
P67,51,2,1,351,353,300,302,300
P50,56,2,1,401,403,345,347,345
P118,57,2,2,403,405,346,348,346
P81,59,3,4,413,416,354,357,354
P114,0,12,2,0,432,420,432,0
P60,1,11,2,4,439,427,438,3
P71,3,6,3,15,449,440,446,12
P90,4,6,4,27,459,449,455,23
P99,4,6,5,31,461,451,457,27
P110,5,9,3,35,466,452,461,30
P68,6,9,3,43,479,464,473,37
P91,7,6,5,55,489,476,482,48
P102,10,5,3,61,490,475,480,51
P73,12,10,2,73,504,482,492,61
P65,13,5,5,79,505,487,492,66
P26,14,8,1,84,509,487,495,70
P59,15,12,3,100,533,506,518,85
P107,17,5,2,114,550,528,533,97
P25,24,6,5,134,576,546,552,110
P93,26,12,5,148,600,562,574,122
P58,28,10,1,160,614,576,586,132
P20,29,8,2,164,618,581,589,135
P39,29,7,5,168,621,585,592,139
P98,29,12,1,177,637,596,608,148
P55,33,9,2,193,658,616,625,160
P113,35,9,5,208,679,635,644,173
P15,35,6,5,216,689,648,654,181
P61,37,10,1,223,695,648,658,186
P85,37,11,1,227,702,654,665,190
P87,37,5,5,231,703,661,666,194
P23,38,5,5,236,704,661,666,198
P103,39,11,1,252,735,685,696,213
P1,40,10,3,256,741,691,701,216
P104,42,7,1,266,744,695,702,224
P83,42,10,2,274,758,706,716,232
P95,42,8,2,278,762,712,720,236
P3,43,11,1,282,769,715,726,239
P17,45,11,2,300,800,744,755,255
P32,47,11,3,320,823,765,776,273
P33,47,9,5,324,828,772,781,277
P41,48,6,3,330,830,776,782,282
P37,50,9,5,347,859,800,809,297
P77,53,12,2,357,875,810,822,304
P89,54,12,5,361,883,817,829,307
P45,55,7,5,377,910,848,855,322
P120,56,5,2,389,927,866,871,333
P16,56,5,2,393,928,867,872,337
P29,56,8,2,397,932,868,876,341
P54,60,5,3,420,957,892,897,360
P111,2,20,2,8,965,943,963,6
P63,4,20,1,23,973,949,969,19
P5,5,17,5,39,978,956,973,34
P88,10,26,1,69,1008,972,998,59
P27,14,20,4,88,1016,982,1002,74
P2,15,14,1,92,1018,989,1003,77
P75,15,24,5,104,1030,991,1015,89
P100,16,21,1,108,1039,1002,1023,92
P28,17,16,5,118,1043,1010,1026,101
P9,17,15,4,122,1046,1014,1029,105
P12,24,21,3,130,1055,1010,1031,106
P80,24,22,3,138,1065,1019,1041,114
P8,26,24,5,144,1077,1027,1051,118
P74,27,18,4,156,1083,1038,1056,129
P43,29,18,5,172,1089,1042,1060,143
P49,31,13,3,181,1090,1046,1059,150
P64,32,18,4,189,1096,1046,1064,157
P115,34,21,5,200,1105,1050,1071,166
P14,34,22,1,204,1115,1059,1081,170
P116,35,23,2,212,1126,1068,1091,177
P46,38,14,3,240,1128,1076,1090,202
P6,38,27,2,244,1143,1078,1105,206
P119,42,21,5,270,1168,1105,1126,228
P70,43,13,1,286,1169,1113,1126,243
P22,44,13,1,290,1170,1113,1126,246
P82,44,15,5,294,1173,1114,1129,250
P7,45,14,5,311,1175,1116,1130,266
P24,46,15,4,315,1178,1117,1132,269
P44,48,26,1,334,1192,1118,1144,286
P47,48,27,5,338,1207,1132,1159,290
P53,49,14,4,343,1209,1146,1160,294
P72,51,17,2,353,1214,1146,1163,302
P19,55,22,3,365,1224,1147,1169,310
P36,55,14,2,369,1226,1157,1171,314
P40,55,13,5,373,1227,1159,1172,318
P101,56,21,3,381,1236,1159,1180,325
P106,56,27,2,385,1251,1168,1195,329
P56,59,15,2,409,1270,1196,1211,350
P105,60,18,1,416,1276,1198,1216,356
P76,6,30,5,47,1278,1242,1272,41
P92,38,29,1,248,1279,1212,1241,210
P48,58,29,3,405,1280,1193,1222,347
