Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P114,0,12,2,0,12,0,12,0
P117,2,3,1,12,15,10,13,10
P63,4,20,1,15,35,11,31,11
P88,10,26,1,35,61,25,51,25
P84,12,2,1,61,63,49,51,49
P26,14,8,1,63,71,49,57,49
P2,15,14,1,71,85,56,70,56
P51,15,4,1,85,89,70,74,70
P100,16,21,1,89,110,73,94,73
P69,27,4,1,110,114,83,87,83
P58,28,10,1,114,124,86,96,86
P97,29,1,1,124,125,95,96,95
P98,29,12,1,125,137,96,108,96
P109,32,3,1,137,140,105,108,105
P35,32,1,1,140,141,108,109,108
P14,34,22,1,141,163,107,129,107
P4,37,1,1,163,164,126,127,126
P61,37,10,1,164,174,127,137,127
P85,37,11,1,174,185,137,148,137
P92,38,29,1,185,214,147,176,147
P103,39,11,1,214,225,175,186,175
P104,42,7,1,225,232,183,190,183
P3,43,11,1,232,243,189,200,189
P70,43,13,1,243,256,200,213,200
P22,44,13,1,256,269,212,225,212
P86,47,1,1,269,270,222,223,222
P11,48,1,1,270,271,222,223,222
P44,48,26,1,271,297,223,249,223
P67,51,2,1,297,299,246,248,246
P50,56,2,1,299,301,243,245,243
P105,60,18,1,301,319,241,259,241
P60,1,11,2,319,330,318,329,318
P111,2,20,2,330,350,328,348,328
P42,7,4,2,350,354,343,347,343
P31,9,2,2,354,356,345,347,345
P73,12,10,2,356,366,344,354,344
P79,13,1,2,366,367,353,354,353
P107,17,5,2,367,372,350,355,350
P10,21,2,2,372,374,351,353,351
P34,25,2,2,374,376,349,351,349
P20,29,8,2,376,384,347,355,347
P55,33,9,2,384,393,351,360,351
P94,33,3,2,393,396,360,363,360
P116,35,23,2,396,419,361,384,361
P6,38,27,2,419,446,381,408,381
P83,42,10,2,446,456,404,414,404
P95,42,8,2,456,464,414,422,414
P17,45,11,2,464,475,419,430,419
P62,45,3,2,475,478,430,433,430
P18,49,1,2,478,479,429,430,429
P72,51,17,2,479,496,428,445,428
P77,53,12,2,496,508,443,455,443
P36,55,14,2,508,522,453,467,453
P106,56,27,2,522,549,466,493,466
P120,56,5,2,549,554,493,498,493
P16,56,5,2,554,559,498,503,498
P29,56,8,2,559,567,503,511,503
P118,57,2,2,567,569,510,512,510
P56,59,15,2,569,584,510,525,510
P71,3,6,3,584,590,581,587,581
P110,5,9,3,590,599,585,594,585
P68,6,9,3,599,608,593,602,593
P102,10,5,3,608,613,598,603,598
P59,15,12,3,613,625,598,610,598
P96,16,2,3,625,627,609,611,609
P21,23,2,3,627,629,604,606,604
P12,24,21,3,629,650,605,626,605
P80,24,22,3,650,672,626,648,626
P49,31,13,3,672,685,641,654,641
P46,38,14,3,685,699,647,661,647
P1,40,10,3,699,709,659,669,659
P108,45,2,3,709,711,664,666,664
P57,45,4,3,711,715,666,670,666
P32,47,11,3,715,726,668,679,668
P41,48,6,3,726,732,678,684,678
P19,55,22,3,732,754,677,699,677
P101,56,21,3,754,775,698,719,698
P48,58,29,3,775,804,717,746,717
P54,60,5,3,804,809,744,749,744
P90,4,6,4,809,815,805,811,805
P78,10,4,4,815,819,805,809,805
P27,14,20,4,819,839,805,825,805
P9,17,15,4,839,854,822,837,822
P74,27,18,4,854,872,827,845,827
P64,32,18,4,872,890,840,858,840
P66,36,2,4,890,892,854,856,854
P13,38,1,4,892,893,854,855,854
P112,40,2,4,893,895,853,855,853
P30,41,4,4,895,899,854,858,854
P24,46,15,4,899,914,853,868,853
P53,49,14,4,914,928,865,879,865
P81,59,3,4,928,931,869,872,869
P38,4,4,5,931,935,927,931,927
P99,4,6,5,935,941,931,937,931
P5,5,17,5,941,958,936,953,936
P76,6,30,5,958,988,952,982,952
P91,7,6,5,988,994,981,987,981
P65,13,5,5,994,999,981,986,981
P75,15,24,5,999,1023,984,1008,984
P28,17,16,5,1023,1039,1006,1022,1006
P25,24,6,5,1039,1045,1015,1021,1015
P8,26,24,5,1045,1069,1019,1043,1019
P93,26,12,5,1069,1081,1043,1055,1043
P39,29,7,5,1081,1088,1052,1059,1052
P43,29,18,5,1088,1106,1059,1077,1059
P115,34,21,5,1106,1127,1072,1093,1072
P113,35,9,5,1127,1136,1092,1101,1092
P15,35,6,5,1136,1142,1101,1107,1101
P87,37,5,5,1142,1147,1105,1110,1105
P23,38,5,5,1147,1152,1109,1114,1109
P119,42,21,5,1152,1173,1110,1131,1110
P82,44,15,5,1173,1188,1129,1144,1129
P7,45,14,5,1188,1202,1143,1157,1143
P52,46,1,5,1202,1203,1156,1157,1156
P33,47,9,5,1203,1212,1156,1165,1156
P47,48,27,5,1212,1239,1164,1191,1164
P37,50,9,5,1239,1248,1189,1198,1189
P89,54,12,5,1248,1260,1194,1206,1194
P40,55,13,5,1260,1273,1205,1218,1205
P45,55,7,5,1273,1280,1218,1225,1218
