Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P114,0,12,2,0,12,0,12,0
P31,9,2,2,12,14,3,5,3
P79,13,1,2,14,15,1,2,1
P84,12,2,1,15,17,3,5,3
P96,16,2,3,17,19,1,3,1
P117,2,3,1,19,22,17,20,17
P10,21,2,2,22,24,1,3,1
P21,23,2,3,24,26,1,3,1
P34,25,2,2,26,28,1,3,1
P38,4,4,5,28,32,24,28,24
P35,32,1,1,32,33,0,1,0
P97,29,1,1,33,34,4,5,4
P109,32,3,1,34,37,2,5,2
P4,37,1,1,37,38,0,1,0
P13,38,1,4,38,39,0,1,0
P66,36,2,4,39,41,3,5,3
P112,40,2,4,41,43,1,3,1
P94,33,3,2,43,46,10,13,10
P52,46,1,5,46,47,0,1,0
P86,47,1,1,47,48,0,1,0
P11,48,1,1,48,49,0,1,0
P18,49,1,2,49,50,0,1,0
P108,45,2,3,50,52,5,7,5
P67,51,2,1,52,54,1,3,1
P62,45,3,2,54,57,9,12,9
P118,57,2,2,57,59,0,2,0
P50,56,2,1,59,61,3,5,3
P81,59,3,4,61,64,2,5,2
P30,41,4,4,64,68,23,27,23
P42,7,4,2,68,72,61,65,61
P51,15,4,1,72,76,57,61,57
P57,45,4,3,76,80,31,35,31
P69,27,4,1,80,84,53,57,53
P78,10,4,4,84,88,74,78,74
P102,10,5,3,88,93,78,83,78
P107,17,5,2,93,98,76,81,76
P120,56,5,2,98,103,42,47,42
P16,56,5,2,103,108,47,52,47
P23,38,5,5,108,113,70,75,70
P54,60,5,3,113,118,53,58,53
P65,13,5,5,118,123,105,110,105
P87,37,5,5,123,128,86,91,86
P15,35,6,5,128,134,93,99,93
P25,24,6,5,134,140,110,116,110
P41,48,6,3,140,146,92,98,92
P71,3,6,3,146,152,143,149,143
P90,4,6,4,152,158,148,154,148
P91,7,6,5,158,164,151,157,151
P99,4,6,5,164,170,160,166,160
P104,42,7,1,170,177,128,135,128
P39,29,7,5,177,184,148,155,148
P45,55,7,5,184,191,129,136,129
P20,29,8,2,191,199,162,170,162
P26,14,8,1,199,207,185,193,185
P29,56,8,2,207,215,151,159,151
P95,42,8,2,215,223,173,181,173
P110,5,9,3,223,232,218,227,218
P113,35,9,5,232,241,197,206,197
P33,47,9,5,241,250,194,203,194
P37,50,9,5,250,259,200,209,200
P55,33,9,2,259,268,226,235,226
P68,6,9,3,268,277,262,271,262
P1,40,10,3,277,287,237,247,237
P58,28,10,1,287,297,259,269,259
P61,37,10,1,297,307,260,270,260
P73,12,10,2,307,317,295,305,295
P83,42,10,2,317,327,275,285,275
P103,39,11,1,327,338,288,299,288
P17,45,11,2,338,349,293,304,293
P3,43,11,1,349,360,306,317,306
P32,47,11,3,360,371,313,324,313
P60,1,11,2,371,382,370,381,370
P85,37,11,1,382,393,345,356,345
P59,15,12,3,393,405,378,390,378
P77,53,12,2,405,417,352,364,352
P89,54,12,5,417,429,363,375,363
P93,26,12,5,429,441,403,415,403
P98,29,12,1,441,453,412,424,412
P22,44,13,1,453,466,409,422,409
P40,55,13,5,466,479,411,424,411
P49,31,13,3,479,492,448,461,448
P70,43,13,1,492,505,449,462,449
P2,15,14,1,505,519,490,504,490
P36,55,14,2,519,533,464,478,464
P46,38,14,3,533,547,495,509,495
P53,49,14,4,547,561,498,512,498
P7,45,14,5,561,575,516,530,516
P24,46,15,4,575,590,529,544,529
P56,59,15,2,590,605,531,546,531
P82,44,15,5,605,620,561,576,561
P9,17,15,4,620,635,603,618,603
P28,17,16,5,635,651,618,634,618
P5,5,17,5,651,668,646,663,646
P72,51,17,2,668,685,617,634,617
P105,60,18,1,685,703,625,643,625
P43,29,18,5,703,721,674,692,674
P64,32,18,4,721,739,689,707,689
P74,27,18,4,739,757,712,730,712
P111,2,20,2,757,777,755,775,755
P27,14,20,4,777,797,763,783,763
P63,4,20,1,797,817,793,813,793
P100,16,21,1,817,838,801,822,801
P101,56,21,3,838,859,782,803,782
P115,34,21,5,859,880,825,846,825
P119,42,21,5,880,901,838,859,838
P12,24,21,3,901,922,877,898,877
P14,34,22,1,922,944,888,910,888
P19,55,22,3,944,966,889,911,889
P80,24,22,3,966,988,942,964,942
P116,35,23,2,988,1011,953,976,953
P75,15,24,5,1011,1035,996,1020,996
P8,26,24,5,1035,1059,1009,1033,1009
P44,48,26,1,1059,1085,1011,1037,1011
P88,10,26,1,1085,1111,1075,1101,1075
P106,56,27,2,1111,1138,1055,1082,1055
P47,48,27,5,1138,1165,1090,1117,1090
P6,38,27,2,1165,1192,1127,1154,1127
P48,58,29,3,1192,1221,1134,1163,1134
P92,38,29,1,1221,1250,1183,1212,1183
P76,6,30,5,1250,1280,1244,1274,1244
