Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P17,2,11,2,4,135,122,133,2
P1,3,10,3,12,149,136,146,9
P11,3,12,4,16,157,142,154,13
P27,7,11,3,72,268,250,261,65
P13,8,11,4,76,275,256,267,68
P8,8,10,2,84,289,271,281,76
P18,9,12,2,92,305,284,296,83
P4,13,11,1,104,328,304,315,91
P6,0,27,2,0,367,340,367,0
P5,2,16,2,8,371,353,369,6
P12,3,21,3,20,380,356,377,17
P14,3,22,1,24,390,365,387,21
P19,3,22,3,28,400,375,397,25
P3,3,27,1,32,415,385,412,29
P10,4,16,3,36,419,399,415,32
P21,5,21,3,40,428,402,423,35
P23,5,27,2,44,443,411,438,39
P24,5,24,4,48,455,426,450,43
P22,6,18,1,52,461,437,455,46
P29,6,28,3,56,477,443,471,50
P2,7,17,2,64,498,474,491,57
P26,7,20,1,68,506,479,499,61
P16,11,28,2,96,554,515,543,85
P28,12,18,1,100,560,530,548,88
P7,13,17,4,108,565,535,552,95
P9,13,20,3,112,573,540,560,99
P30,6,30,4,60,591,555,585,54
P25,8,30,5,80,593,555,585,72
P15,9,30,5,88,595,556,586,79
P20,14,30,3,116,597,553,583,102
