Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P1,3,10,3,3,13,0,10,0
P17,2,11,2,2,23,10,21,0
P8,8,10,2,23,33,15,25,15
P13,8,11,4,33,44,25,36,25
P27,7,11,3,44,55,37,48,37
P4,13,11,1,55,66,42,53,42
P11,3,12,4,66,78,63,75,63
P18,9,12,2,78,90,69,81,69
P10,4,16,3,90,106,86,102,86
P5,2,16,2,106,122,104,120,104
P2,7,17,2,122,139,115,132,115
P7,13,17,4,139,156,126,143,126
P22,6,18,1,156,174,150,168,150
P28,12,18,1,174,192,162,180,162
P26,7,20,1,192,212,185,205,185
P9,13,20,3,212,232,199,219,199
P12,3,21,3,232,253,229,250,229
P21,5,21,3,253,274,248,269,248
P14,3,22,1,274,296,271,293,271
P19,3,22,3,296,318,293,315,293
P24,5,24,4,318,342,313,337,313
P6,0,27,2,0,367,340,367,0
P23,5,27,2,367,394,362,389,362
P3,3,27,1,394,421,391,418,391
P16,11,28,2,421,449,410,438,410
P29,6,28,3,449,477,443,471,443
P15,9,30,5,477,507,468,498,468
P20,14,30,3,507,537,493,523,493
P25,8,30,5,537,567,529,559,529
P30,6,30,4,567,597,561,591,561
