Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P7,0,5,2,0,5,0,5,0
P28,1,2,1,5,7,4,6,4
P5,1,1,1,7,8,6,7,6
P18,2,1,2,8,9,6,7,6
P24,2,5,2,9,14,7,12,7
P30,2,2,5,14,16,12,14,12
P4,2,5,4,16,21,14,19,14
P1,3,1,3,21,22,18,19,18
P12,3,1,4,22,23,19,20,19
P13,3,3,3,23,26,20,23,20
P15,3,4,1,26,30,23,27,23
P20,3,4,3,30,34,27,31,27
P3,3,6,5,34,40,31,37,31
P11,4,2,3,40,42,36,38,36
P22,5,3,3,42,45,37,40,37
P23,6,6,3,45,51,39,45,39
P6,6,2,5,51,53,45,47,45
P2,7,2,2,53,55,46,48,46
P25,7,2,4,55,57,48,50,48
P27,7,6,3,57,63,50,56,50
P14,8,1,4,63,64,55,56,55
P9,8,1,2,64,65,56,57,56
P16,9,6,5,65,71,56,62,56
P19,9,1,2,71,72,62,63,62
P29,10,4,3,72,76,62,66,62
P17,11,5,2,76,81,65,70,65
P26,12,3,5,81,84,69,72,69
P10,13,3,3,84,87,71,74,71
P8,13,2,4,87,89,74,76,74
P21,14,6,3,89,95,75,81,75
