Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P28,1,2,1,4,6,3,5,3
P5,1,1,1,6,7,5,6,5
P18,2,1,2,7,8,5,6,5
P30,2,2,5,12,14,10,12,10
P1,3,1,3,18,19,15,16,15
P12,3,1,4,19,20,16,17,16
P13,3,3,3,20,23,17,20,17
P15,3,4,1,23,27,20,24,20
P20,3,4,3,27,31,24,28,24
P11,4,2,3,35,37,31,33,31
P22,5,3,3,37,40,32,35,32
P6,6,2,5,44,46,38,40,38
P2,7,2,2,46,48,39,41,39
P25,7,2,4,48,50,41,43,41
P14,8,1,4,54,55,46,47,46
P9,8,1,2,55,56,47,48,47
P19,9,1,2,60,61,51,52,51
P29,10,4,3,61,65,51,55,51
P26,12,3,5,69,72,57,60,57
P10,13,3,3,72,75,59,62,59
P8,13,2,4,75,77,62,64,62
P7,0,5,2,0,82,77,82,0
P24,2,5,2,8,83,76,81,6
P4,2,5,4,14,84,77,82,12
P3,3,6,5,31,86,77,83,28
P23,6,6,3,40,88,76,82,34
P27,7,6,3,50,90,77,83,43
P16,9,6,5,56,92,77,83,47
P17,11,5,2,65,93,77,82,54
P21,14,6,3,77,95,75,81,63
