Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P7,0,5,2,0,5,0,5,0
P28,1,2,1,5,7,4,6,4
P5,1,1,1,7,8,6,7,6
P15,3,4,1,8,12,5,9,5
P18,2,1,2,12,13,10,11,10
P24,2,5,2,13,18,11,16,11
P2,7,2,2,18,20,11,13,11
P9,8,1,2,20,21,12,13,12
P19,9,1,2,21,22,12,13,12
P17,11,5,2,22,27,11,16,11
P1,3,1,3,27,28,24,25,24
P13,3,3,3,28,31,25,28,25
P20,3,4,3,31,35,28,32,28
P11,4,2,3,35,37,31,33,31
P22,5,3,3,37,40,32,35,32
P23,6,6,3,40,46,34,40,34
P27,7,6,3,46,52,39,45,39
P29,10,4,3,52,56,42,46,42
P10,13,3,3,56,59,43,46,43
P21,14,6,3,59,65,45,51,45
P4,2,5,4,65,70,63,68,63
P12,3,1,4,70,71,67,68,67
P25,7,2,4,71,73,64,66,64
P14,8,1,4,73,74,65,66,65
P8,13,2,4,74,76,61,63,61
P30,2,2,5,76,78,74,76,74
P3,3,6,5,78,84,75,81,75
P6,6,2,5,84,86,78,80,78
P16,9,6,5,86,92,77,83,77
P26,12,3,5,92,95,80,83,80
