Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P5,1,1,1,1,2,0,1,0
P18,2,1,2,2,3,0,1,0
P1,3,1,3,3,4,0,1,0
P12,3,1,4,4,5,1,2,1
P11,4,2,3,5,7,1,3,1
P14,8,1,4,8,9,0,1,0
P19,9,1,2,9,10,0,1,0
P2,7,2,2,7,11,2,4,0
P9,8,1,2,11,12,3,4,3
P25,7,2,4,12,14,5,7,5
P28,1,2,1,14,16,13,15,13
P30,2,2,5,16,18,14,16,14
P6,6,2,5,18,20,12,14,12
P8,13,2,4,20,22,7,9,7
P10,13,3,3,22,25,9,12,9
P13,3,3,3,25,28,22,25,22
P22,5,3,3,28,31,23,26,23
P26,12,3,5,31,34,19,22,19
P15,3,4,1,34,38,31,35,31
P20,3,4,3,38,42,35,39,35
P29,10,4,3,42,46,32,36,32
P7,0,5,2,0,50,45,50,0
P17,11,5,2,50,55,39,44,39
P24,2,5,2,55,60,53,58,53
P4,2,5,4,60,65,58,63,58
P16,9,6,5,65,71,56,62,56
P21,14,6,3,71,77,57,63,57
P23,6,6,3,77,83,71,77,71
P27,7,6,3,83,89,76,82,76
P3,3,6,5,89,95,86,92,86
