Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P4,0,16,2,0,16,0,16,0
P5,0,6,5,16,22,16,22,16
P3,2,9,1,22,31,20,29,20
P1,3,18,2,31,49,28,46,28
P10,3,3,5,49,52,46,49,46
P12,3,1,5,52,53,49,50,49
P16,3,3,4,53,56,50,53,50
P30,4,5,4,56,61,52,57,52
P19,5,14,2,61,75,56,70,56
P20,5,4,3,75,79,70,74,70
P14,6,4,1,79,83,73,77,73
P18,6,7,1,83,90,77,84,77
P15,7,1,2,90,91,83,84,83
P2,7,13,5,91,104,84,97,84
P21,7,8,1,104,112,97,105,97
P22,7,20,4,112,132,105,125,105
P11,8,24,5,132,156,124,148,124
P23,8,16,5,156,172,148,164,148
P26,8,17,5,172,189,164,181,164
P27,8,12,4,189,201,181,193,181
P7,8,15,4,201,216,193,208,193
P13,9,12,3,216,228,207,219,207
P24,10,30,4,228,258,218,248,218
P8,10,2,2,258,260,248,250,248
P9,10,12,4,260,272,250,262,250
P17,11,21,3,272,293,261,282,261
P25,12,10,2,293,303,281,291,281
P28,12,2,2,303,305,291,293,291
P6,13,24,5,305,329,292,316,292
P29,15,11,1,329,340,314,325,314
