Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P10,3,3,5,16,19,13,16,13
P12,3,1,5,19,20,16,17,16
P16,3,3,4,20,23,17,20,17
P20,5,4,3,31,35,26,30,26
P14,6,4,1,35,39,29,33,29
P15,7,1,2,43,44,36,37,36
P8,10,2,2,84,86,74,76,74
P28,12,2,2,98,100,86,88,86
P5,0,6,5,4,118,112,118,4
P3,2,9,1,8,123,112,121,6
P30,4,5,4,23,132,123,128,19
P18,6,7,1,39,143,130,137,33
P21,7,8,1,48,155,140,148,41
P27,8,12,4,68,195,175,187,60
P13,9,12,3,76,211,190,202,67
P9,10,12,4,86,227,205,217,76
P25,12,10,2,94,241,219,229,82
P29,15,11,1,104,256,230,241,89
P4,0,16,2,0,260,244,260,0
P1,3,18,2,12,266,245,263,9
P19,5,14,2,27,268,249,263,22
P2,7,13,5,44,269,249,262,37
P22,7,20,4,52,277,250,270,45
P11,8,24,5,56,289,257,281,48
P23,8,16,5,60,293,269,285,52
P26,8,17,5,64,298,273,290,56
P7,8,15,4,72,301,278,293,64
P17,11,21,3,90,326,294,315,79
P6,13,24,5,100,338,301,325,87
P24,10,30,4,80,340,300,330,70
