Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P4,0,16,2,0,16,0,16,0
P3,2,9,1,16,25,14,23,14
P14,6,4,1,25,29,19,23,19
P18,6,7,1,29,36,23,30,23
P21,7,8,1,36,44,29,37,29
P29,15,11,1,44,55,29,40,29
P1,3,18,2,55,73,52,70,52
P19,5,14,2,73,87,68,82,68
P15,7,1,2,87,88,80,81,80
P8,10,2,2,88,90,78,80,78
P25,12,10,2,90,100,78,88,78
P28,12,2,2,100,102,88,90,88
P20,5,4,3,102,106,97,101,97
P13,9,12,3,106,118,97,109,97
P17,11,21,3,118,139,107,128,107
P16,3,3,4,139,142,136,139,136
P30,4,5,4,142,147,138,143,138
P22,7,20,4,147,167,140,160,140
P27,8,12,4,167,179,159,171,159
P7,8,15,4,179,194,171,186,171
P24,10,30,4,194,224,184,214,184
P9,10,12,4,224,236,214,226,214
P5,0,6,5,236,242,236,242,236
P10,3,3,5,242,245,239,242,239
P12,3,1,5,245,246,242,243,242
P2,7,13,5,246,259,239,252,239
P11,8,24,5,259,283,251,275,251
P23,8,16,5,283,299,275,291,275
P26,8,17,5,299,316,291,308,291
P6,13,24,5,316,340,303,327,303
