Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P10,3,3,5,16,19,13,16,13
P12,3,1,5,19,20,16,17,16
P16,3,3,4,20,23,17,20,17
P20,5,4,3,35,39,30,34,30
P14,6,4,1,39,43,33,37,33
P15,7,1,2,47,48,40,41,40
P5,0,6,5,4,82,76,82,4
P8,10,2,2,90,92,80,82,80
P28,12,2,2,104,106,92,94,92
P30,4,5,4,23,123,114,119,19
P18,6,7,1,43,134,121,128,37
P21,7,8,1,52,142,127,135,45
P3,2,9,1,8,187,176,185,6
P4,0,16,2,0,203,187,203,0
P27,8,12,4,72,231,211,223,64
P13,9,12,3,82,239,218,230,73
P9,10,12,4,92,247,225,237,82
P25,12,10,2,100,253,231,241,88
P29,15,11,1,114,260,234,245,99
P19,5,14,2,31,266,247,261,26
P2,7,13,5,48,267,247,260,41
P23,8,16,5,64,279,255,271,56
P7,8,15,4,76,286,263,278,68
P1,3,18,2,12,300,279,297,9
P22,7,20,4,56,304,277,297,49
P26,8,17,5,68,309,284,301,60
P11,8,24,5,60,325,293,317,52
P17,11,21,3,96,330,298,319,85
P6,13,24,5,110,334,297,321,97
P24,10,30,4,86,340,300,330,76
