Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P12,3,1,5,3,4,0,1,0
P10,3,3,5,4,7,1,4,1
P15,7,1,2,7,8,0,1,0
P16,3,3,4,8,11,5,8,5
P8,10,2,2,11,13,1,3,1
P28,12,2,2,13,15,1,3,1
P5,0,6,5,0,18,12,18,0
P14,6,4,1,18,22,12,16,12
P20,5,4,3,22,26,17,21,17
P30,4,5,4,26,31,22,27,22
P18,6,7,1,31,38,25,32,25
P21,7,8,1,38,46,31,39,31
P3,2,9,1,46,55,44,53,44
P25,12,10,2,55,65,43,53,43
P29,15,11,1,65,76,50,61,50
P13,9,12,3,76,88,67,79,67
P27,8,12,4,88,100,80,92,80
P9,10,12,4,100,112,90,102,90
P2,7,13,5,112,125,105,118,105
P19,5,14,2,125,139,120,134,120
P7,8,15,4,139,154,131,146,131
P23,8,16,5,154,170,146,162,146
P4,0,16,2,170,186,170,186,170
P26,8,17,5,186,203,178,195,178
P1,3,18,2,203,221,200,218,200
P22,7,20,4,221,241,214,234,214
P17,11,21,3,241,262,230,251,230
P11,8,24,5,262,286,254,278,254
P6,13,24,5,286,310,273,297,273
P24,10,30,4,310,340,300,330,300
